RSSI,Ping,send_time_echoer,recv_time_echoer
-37,NA,792156690068365000,792156690066275000
-37,NA,792156690177894000,792156690176161000
-36,NA,792156690287899000,792156690286153000
-37,NA,792156690397885000,792156690396151000
-36,NA,792156690507910000,792156690506146000
-36,NA,792156690617886000,792156690616149000
-37,NA,792156690727900000,792156690726144000
-36,NA,792156690837889000,792156690836147000
-36,NA,792156690947956000,792156690946185000
-35,NA,792156691057921000,792156691056175000
-36,NA,792156691167930000,792156691166151000
-36,NA,792156691277900000,792156691276151000
-36,NA,792156691387922000,792156691386142000
-36,NA,792156691497904000,792156691496151000
-35,NA,792156691607897000,792156691606142000
-35,NA,792156691717907000,792156691716152000
-36,NA,792156691827928000,792156691826155000
-36,NA,792156691938081000,792156691936185000
-36,NA,792156692047937000,792156692046173000
-35,NA,792156692157913000,792156692156149000
-36,NA,792156692267912000,792156692266144000
-36,NA,792156692377917000,792156692376149000
-36,NA,792156692488073000,792156692486217000
-35,NA,792156692598123000,792156692596217000
-36,NA,792156692708074000,792156692706224000
-35,NA,792156692818065000,792156692816219000
-37,NA,792156692928104000,792156692926255000
-35,NA,792156693038088000,792156693036241000
-35,NA,792156693148064000,792156693146213000
-36,NA,792156693258144000,792156693256221000
-35,NA,792156693368055000,792156693366212000
-36,NA,792156693478064000,792156693476221000
-35,NA,792156693588065000,792156693586221000
-36,NA,792156693698063000,792156693696221000
-35,NA,792156693808064000,792156693806222000
-35,NA,792156693918093000,792156693916249000
-35,NA,792156694028088000,792156694026243000
-35,NA,792156694138148000,792156694136211000
-36,NA,792156694248077000,792156694246225000
-36,NA,792156694358049000,792156694356208000
-36,NA,792156694468064000,792156694466223000
-36,NA,792156694578057000,792156694576216000
-35,NA,792156694688065000,792156694686224000
-35,NA,792156694798061000,792156694796220000
-35,NA,792156694908092000,792156694906247000
-36,NA,792156695018085000,792156695016239000
-36,NA,792156695128056000,792156695126213000
-35,NA,792156695238182000,792156695236221000
-35,NA,792156695348117000,792156695346218000
-35,NA,792156695458063000,792156695456222000
-35,NA,792156695568059000,792156695566219000
-36,NA,792156695678063000,792156695676219000
-36,NA,792156695788059000,792156695786216000
-35,NA,792156695898098000,792156695896258000
-36,NA,792156696008086000,792156696006244000
-35,NA,792156696118053000,792156696116210000
-36,NA,792156696228060000,792156696226220000
-35,NA,792156696338062000,792156696336219000
-36,NA,792156696448065000,792156696446224000
-37,NA,792156696558207000,792156696556220000
-36,NA,792156696668131000,792156696666211000
-36,NA,792156696778055000,792156696776216000
-36,NA,792156696888092000,792156696886247000
-36,NA,792156696998083000,792156696996239000
-36,NA,792156697108061000,792156697106218000
-36,NA,792156697218064000,792156697216221000
-36,NA,792156697328064000,792156697326222000
-35,NA,792156697438063000,792156697436222000
-35,NA,792156697548055000,792156697546212000
-36,NA,792156697658063000,792156697656221000
-36,NA,792156697768055000,792156697766212000
-35,NA,792156697878094000,792156697876249000
-35,NA,792156697988086000,792156697986241000
-36,NA,792156698102173000,792156698096220000
-36,NA,792156698207945000,792156698206170000
-35,NA,792156698317890000,792156698316149000
-36,NA,792156698427880000,792156698426147000
-36,NA,792156698537885000,792156698536151000
-36,NA,792156698647881000,792156698646145000
-36,NA,792156698757896000,792156698756149000
-37,NA,792156698858484000,792156698856722000
-35,NA,792156698977919000,792156698976173000
-35,NA,792156699087891000,792156699086150000
-35,NA,792156699197896000,792156699196151000
-36,NA,792156699307890000,792156699306147000
-36,NA,792156699417903000,792156699416151000
-36,NA,792156699527890000,792156699526143000
-36,NA,792156699637902000,792156699636151000
-35,NA,792156699747899000,792156699746150000
-35,NA,792156699858122000,792156699856360000
-36,NA,792156699967933000,792156699966173000
-36,NA,792156700077917000,792156700076148000
-36,NA,792156700187910000,792156700186144000
-35,NA,792156700297915000,792156700296149000
-35,NA,792156700407905000,792156700406144000
-36,NA,792156700517921000,792156700516149000
-36,NA,792156700627923000,792156700626152000
-36,NA,792156700738155000,792156700736149000
-37,NA,792156700847920000,792156700846152000
-35,NA,792156700957974000,792156700956208000
