RSSI,Ping,send_time_echoer,recv_time_echoer
-34,NA,792156044901150000,792156044899387000
-34,NA,792156045021096000,792156045019357000
-34,NA,792156045131120000,792156045129354000
-34,NA,792156045241099000,792156045239350000
-35,NA,792156045351103000,792156045349341000
-36,NA,792156045461101000,792156045459350000
-36,NA,792156045571149000,792156045569381000
-37,NA,792156045681125000,792156045679374000
-36,NA,792156045791122000,792156045789348000
-37,NA,792156045901102000,792156045899348000
-36,NA,792156046011136000,792156046009348000
-35,NA,792156046121105000,792156046119348000
-37,NA,792156046231131000,792156046229339000
-37,NA,792156046341108000,792156046339348000
-38,NA,792156046451100000,792156046449337000
-37,NA,792156046561151000,792156046559388000
-38,NA,792156046671130000,792156046669372000
-37,NA,792156046781160000,792156046779346000
-37,NA,792156046891116000,792156046889350000
-38,NA,792156047001115000,792156046999346000
-36,NA,792156047111111000,792156047109341000
-39,NA,792156047221117000,792156047219346000
-37,NA,792156047331114000,792156047329341000
-37,NA,792156047441204000,792156047439346000
-37,NA,792156047551161000,792156047549386000
-37,NA,792156047661140000,792156047659368000
-38,NA,792156047771138000,792156047769352000
-37,NA,792156047881140000,792156047879352000
-37,NA,792156047991123000,792156047989337000
-37,NA,792156048101246000,792156048099352000
-35,NA,792156048211115000,792156048209339000
-37,NA,792156048321130000,792156048319348000
-38,NA,792156048431135000,792156048429348000
-37,NA,792156048541168000,792156048539378000
-38,NA,792156048651165000,792156048649376000
-37,NA,792156048761149000,792156048759350000
-37,NA,792156048871146000,792156048869345000
-37,NA,792156048981354000,792156048979350000
-38,NA,792156049091136000,792156049089341000
-36,NA,792156049201144000,792156049199344000
-37,NA,792156049311148000,792156049309350000
-37,NA,792156049421148000,792156049419346000
-38,NA,792156049531181000,792156049529387000
-38,NA,792156049641179000,792156049639373000
-37,NA,792156049751146000,792156049749339000
-37,NA,792156049861152000,792156049859348000
-38,NA,792156049971147000,792156049969339000
-38,NA,792156050081417000,792156050079348000
-38,NA,792156050191159000,792156050189349000
-37,NA,792156050301161000,792156050299348000
-37,NA,792156050411306000,792156050409348000
-36,NA,792156050521259000,792156050519413000
-37,NA,792156050631252000,792156050629402000
-37,NA,792156050741229000,792156050739375000
-38,NA,792156050851233000,792156050849386000
-36,NA,792156050961216000,792156050959367000
-37,NA,792156051071221000,792156051069380000
-37,NA,792156051181225000,792156051179376000
-37,NA,792156051291218000,792156051289380000
-37,NA,792156051401441000,792156051399376000
-38,NA,792156051511430000,792156051509583000
-37,NA,792156051621243000,792156051619402000
-37,NA,792156051731218000,792156051729369000
-38,NA,792156051841218000,792156051839378000
-38,NA,792156051951226000,792156051949378000
-37,NA,792156052061225000,792156052059378000
-38,NA,792156052171226000,792156052169378000
-37,NA,792156052281227000,792156052279378000
-37,NA,792156052391220000,792156052389369000
-37,NA,792156052501224000,792156052499378000
-36,NA,792156052611242000,792156052609397000
-38,NA,792156052721242000,792156052719403000
-38,NA,792156052831226000,792156052829378000
-38,NA,792156052941455000,792156052939377000
-37,NA,792156053051221000,792156053049379000
-36,NA,792156053161226000,792156053159378000
-37,NA,792156053271221000,792156053269372000
-37,NA,792156053381220000,792156053379381000
-37,NA,792156053491219000,792156053489369000
-37,NA,792156053601270000,792156053599413000
-37,NA,792156053711263000,792156053709409000
-37,NA,792156053821230000,792156053819376000
-38,NA,792156053931227000,792156053929380000
-37,NA,792156054041218000,792156054039376000
-38,NA,792156054151222000,792156054149375000
-38,NA,792156054261229000,792156054259377000
-37,NA,792156054381209000,792156054379371000
-36,NA,792156054491227000,792156054489376000
-36,NA,792156054601253000,792156054599415000
-37,NA,792156054711250000,792156054709402000
-37,NA,792156054821234000,792156054819382000
-37,NA,792156054931229000,792156054929378000
-38,NA,792156055041217000,792156055039369000
-38,NA,792156055151220000,792156055149378000
-38,NA,792156055261220000,792156055259373000
-37,NA,792156055371225000,792156055369378000
-38,NA,792156055481233000,792156055479378000
-38,NA,792156055591510000,792156055589414000
-38,NA,792156055701242000,792156055699402000
-37,NA,792156055811218000,792156055809376000
