RSSI,Ping,send_time_sender,recv_time_sender
-33,14,792156012089929000,792156012104097000
-33,21,792156012194135000,792156012214224000
-32,20,792156012304149000,792156012324072000
-32,20,792156012414136000,792156012434068000
-33,20,792156012524137000,792156012544068000
-33,20,792156012634145000,792156012654070000
-33,20,792156012744139000,792156012764069000
-34,20,792156012854148000,792156012874074000
-34,20,792156012964144000,792156012984079000
-34,20,792156013074132000,792156013094073000
-34,21,792156013184082000,792156013204292000
-34,21,792156013294164000,792156013314167000
-34,20,792156013404112000,792156013424070000
-34,20,792156013514152000,792156013534073000
-34,20,792156013624139000,792156013644076000
-35,20,792156013734139000,792156013754073000
-35,20,792156013844138000,792156013864074000
-35,20,792156013954146000,792156013974078000
-35,20,792156014064138000,792156014084072000
-35,20,792156014174136000,792156014194073000
-34,20,792156014284148000,792156014304070000
-35,20,792156014394143000,792156014414069000
-35,20,792156014504137000,792156014524068000
-35,21,792156014614132000,792156014634288000
-35,21,792156014724020000,792156014744170000
-35,21,792156014834014000,792156014854146000
-35,20,792156014944149000,792156014964068000
-35,20,792156015054136000,792156015074068000
-35,20,792156015164137000,792156015184072000
-35,20,792156015274156000,792156015294074000
-36,20,792156015384135000,792156015404073000
-35,20,792156015494137000,792156015514073000
-35,20,792156015604151000,792156015624071000
-35,20,792156015714137000,792156015734071000
-35,20,792156015824138000,792156015844075000
-35,20,792156015934148000,792156015954068000
-35,20,792156016044133000,792156016064072000
-35,21,792156016154067000,792156016174172000
-34,20,792156016264289000,792156016284166000
-35,20,792156016374134000,792156016394075000
-35,20,792156016484142000,792156016504077000
-35,20,792156016594139000,792156016614077000
-35,20,792156016704135000,792156016724074000
-35,20,792156016814137000,792156016834075000
-35,20,792156016924145000,792156016944066000
-35,20,792156017034145000,792156017054072000
-35,20,792156017144137000,792156017164072000
-35,20,792156017254151000,792156017274071000
-36,20,792156017364135000,792156017384083000
-35,20,792156017474137000,792156017494071000
-35,21,792156017584130000,792156017604284000
-35,21,792156017694024000,792156017714167000
-35,21,792156017804014000,792156017824144000
-34,20,792156017914157000,792156017934067000
-35,20,792156018024137000,792156018044068000
-35,20,792156018134139000,792156018154072000
-35,20,792156018244151000,792156018264071000
-35,20,792156018354136000,792156018374068000
-35,20,792156018464138000,792156018484072000
-35,19,792156018574247000,792156018594076000
-35,20,792156018684149000,792156018704097000
-35,20,792156018794143000,792156018814076000
-35,19,792156018904327000,792156018924069000
-35,20,792156019014132000,792156019034072000
-35,21,792156019124087000,792156019144170000
-35,21,792156019234076000,792156019254128000
-34,20,792156019344218000,792156019364071000
-35,20,792156019454142000,792156019474075000
-35,20,792156019564135000,792156019584075000
-35,20,792156019674143000,792156019694074000
-35,20,792156019784135000,792156019804075000
-35,20,792156019894137000,792156019914111000
-35,20,792156020004135000,792156020024075000
-35,20,792156020114135000,792156020134067000
-34,20,792156020224149000,792156020244087000
-35,20,792156020334141000,792156020354066000
-35,20,792156020444137000,792156020464070000
-35,21,792156020554138000,792156020574330000
-35,21,792156020664014000,792156020684168000
-35,21,792156020774014000,792156020794145000
-35,21,792156020884131000,792156020904288000
-35,20,792156020994133000,792156021014075000
-34,20,792156021104137000,792156021124074000
-35,19,792156021214257000,792156021234069000
-35,20,792156021324137000,792156021344069000
-35,20,792156021434144000,792156021454074000
-35,20,792156021544137000,792156021564074000
-34,20,792156021654139000,792156021674075000
-35,20,792156021764139000,792156021784077000
-34,20,792156021874138000,792156021894068000
-35,21,792156021984145000,792156022004436000
-35,21,792156022094019000,792156022114174000
-35,21,792156022204182000,792156022224172000
-34,20,792156022314138000,792156022334070000
-34,20,792156022424166000,792156022444076000
-35,20,792156022534167000,792156022554077000
-34,21,792156022644136000,792156022664115000
-34,20,792156022754139000,792156022774067000
-34,21,792156022864138000,792156022884145000
-34,20,792156022974146000,792156022994074000
