RSSI,Ping,send_time_echoer,recv_time_echoer
-29,NA,792090491339298000,792090491337486000
-29,NA,792090491344435000,792090491342703000
-30,NA,792090491357260000,792090491348172000
-30,NA,792090491459309000,792090491457550000
-33,NA,792090491569427000,792090491567676000
-31,NA,792090491679458000,792090491677727000
-32,NA,792090491789426000,792090491787675000
-31,NA,792090491899402000,792090491897665000
-31,NA,792090492009425000,792090492007670000
-32,NA,792090492119406000,792090492117666000
-32,NA,792090492229438000,792090492227670000
-32,NA,792090492339408000,792090492337666000
-32,NA,792090492449433000,792090492447663000
-32,NA,792090492559412000,792090492557668000
-31,NA,792090492669448000,792090492667695000
-31,NA,792090492779442000,792090492777689000
-31,NA,792090492889424000,792090492887673000
-30,NA,792090492999479000,792090492997670000
-31,NA,792090493109422000,792090493107670000
-32,NA,792090493219422000,792090493217667000
-31,NA,792090493329416000,792090493327663000
-32,NA,792090493439425000,792090493437667000
-31,NA,792090493549419000,792090493547663000
-30,NA,792090493659538000,792090493657704000
-30,NA,792090493769459000,792090493767695000
-30,NA,792090493879430000,792090493877665000
-29,NA,792090493989434000,792090493987673000
-30,NA,792090494099430000,792090494097664000
-30,NA,792090494209427000,792090494207663000
-30,NA,792090494319510000,792090494317664000
-32,NA,792090494429435000,792090494427665000
-32,NA,792090494539439000,792090494537668000
-32,NA,792090494649480000,792090494647708000
-30,NA,792090494759465000,792090494757689000
-31,NA,792090494869442000,792090494867672000
-30,NA,792090494979442000,792090494977669000
-29,NA,792090495089436000,792090495087663000
-29,NA,792090495199539000,792090495197669000
-31,NA,792090495309437000,792090495307663000
-30,NA,792090495419447000,792090495417669000
-30,NA,792090495529448000,792090495527673000
-29,NA,792090495639482000,792090495637697000
-29,NA,792090495749477000,792090495747695000
-32,NA,792090495859448000,792090495857664000
-31,NA,792090495969445000,792090495967664000
-31,NA,792090496079452000,792090496077666000
-32,NA,792090496190860000,792090496187664000
-32,NA,792090496299561000,792090496297673000
-31,NA,792090496409426000,792090496407668000
-32,NA,792090496519409000,792090496517663000
-32,NA,792090496629446000,792090496627704000
-33,NA,792090496739450000,792090496737691000
-32,NA,792090496849402000,792090496847660000
-31,NA,792090496959411000,792090496957669000
-32,NA,792090497069402000,792090497067656000
-32,NA,792090497179415000,792090497177665000
-32,NA,792090497289415000,792090497287665000
-33,NA,792090497399419000,792090497397665000
-32,NA,792090497509418000,792090497507667000
-32,NA,792090497619610000,792090497617701000
-31,NA,792090497729507000,792090497727688000
-31,NA,792090497839416000,792090497837654000
-31,NA,792090497949425000,792090497947667000
-31,NA,792090498059417000,792090498057653000
-31,NA,792090498169429000,792090498167667000
-32,NA,792090498279440000,792090498277666000
-31,NA,792090498389431000,792090498387667000
-31,NA,792090498499438000,792090498497664000
-31,NA,792090498609470000,792090498607694000
-32,NA,792090498719488000,792090498717709000
-32,NA,792090498829435000,792090498827659000
-31,NA,792090498939455000,792090498937667000
-32,NA,792090499049447000,792090499047668000
-32,NA,792090499159623000,792090499157663000
-31,NA,792090499269471000,792090499267669000
-31,NA,792090499379449000,792090499377664000
-31,NA,792090499489447000,792090499487662000
-31,NA,792090499599492000,792090499597699000
-31,NA,792090499709479000,792090499707691000
-31,NA,792090499819454000,792090499817653000
-31,NA,792090499929468000,792090499927669000
-32,NA,792090500039457000,792090500037663000
-31,NA,792090500149459000,792090500147668000
-31,NA,792090500259459000,792090500257663000
-31,NA,792090500369454000,792090500367660000
-32,NA,792090500479463000,792090500477663000
-31,NA,792090500589496000,792090500587693000
-32,NA,792090500699492000,792090500697687000
-31,NA,792090500809466000,792090500807666000
-31,NA,792090500919471000,792090500917665000
-32,NA,792090501029467000,792090501027666000
-31,NA,792090501139486000,792090501137667000
-32,NA,792090501249472000,792090501247657000
-32,NA,792090501359476000,792090501357666000
-31,NA,792090501469464000,792090501467655000
-31,NA,792090501579702000,792090501577876000
-31,NA,792090501689507000,792090501687687000
-31,NA,792090501802963000,792090501797665000
-32,NA,792090501909436000,792090501907672000
-32,NA,792090502019404000,792090502017670000
