RSSI,Ping,send_time_sender,recv_time_sender
-21,17,792090848682837000,792090848699708000
-20,20,792090848789745000,792090848809689000
-20,20,792090848899748000,792090848919682000
-20,20,792090849009748000,792090849029683000
-21,20,792090849119746000,792090849139681000
-20,20,792090849229754000,792090849249686000
-20,20,792090849339748000,792090849359683000
-20,20,792090849449754000,792090849469686000
-20,21,792090849559707000,792090849579788000
-21,21,792090849669689000,792090849689742000
-20,20,792090849779734000,792090849799682000
-21,20,792090849889753000,792090849909686000
-20,20,792090849999748000,792090850019681000
-20,20,792090850109756000,792090850129682000
-21,20,792090850219748000,792090850239687000
-20,20,792090850329748000,792090850349689000
-21,20,792090850439758000,792090850459680000
-21,20,792090850549744000,792090850569692000
-20,20,792090850659758000,792090850679685000
-20,20,792090850769748000,792090850789683000
-21,20,792090850879746000,792090850899684000
-22,21,792090850989748000,792090851009874000
-21,21,792090851099636000,792090851119783000
-21,21,792090851209632000,792090851229739000
-21,20,792090851319754000,792090851339691000
-21,20,792090851429758000,792090851449682000
-20,20,792090851539748000,792090851559688000
-21,19,792090851649871000,792090851669684000
-20,21,792090851759748000,792090851779821000
-21,20,792090851869754000,792090851889686000
-20,20,792090851979746000,792090851999687000
-21,20,792090852089749000,792090852109688000
-21,20,792090852199748000,792090852219689000
-22,20,792090852309748000,792090852329684000
-21,21,792090852419753000,792090852440085000
-20,21,792090852529688000,792090852549788000
-20,21,792090852639795000,792090852659783000
-21,19,792090852749960000,792090852769690000
-21,20,792090852859748000,792090852879686000
-21,20,792090852969748000,792090852989686000
-21,19,792090853079967000,792090853099691000
-21,20,792090853189744000,792090853209691000
-21,20,792090853299747000,792090853319691000
-21,20,792090853409763000,792090853429694000
-20,20,792090853519748000,792090853539688000
-21,21,792090853629755000,792090853649833000
-20,20,792090853739747000,792090853759683000
-21,20,792090853849749000,792090853869683000
-21,21,792090853959743000,792090853979908000
-21,21,792090854069642000,792090854089786000
-20,20,792090854179630000,792090854199686000
-21,20,792090854289753000,792090854309689000
-20,20,792090854399756000,792090854419682000
-20,20,792090854509755000,792090854529683000
-20,21,792090854619746000,792090854639842000
-21,20,792090854729750000,792090854749692000
-21,20,792090854839746000,792090854859686000
-21,20,792090854949748000,792090854969689000
-21,20,792090855059748000,792090855079686000
-21,20,792090855169746000,792090855189683000
-21,21,792090855279749000,792090855299728000
-21,20,792090855389847000,792090855410143000
-21,21,792090855499666000,792090855519795000
-20,21,792090855609632000,792090855629783000
-21,20,792090855719763000,792090855739684000
-21,20,792090855829750000,792090855849685000
-20,20,792090855939750000,792090855959686000
-21,20,792090856049750000,792090856069687000
-21,20,792090856159750000,792090856179686000
-21,20,792090856269756000,792090856289691000
-20,19,792090856379939000,792090856399682000
-20,20,792090856489748000,792090856509685000
-20,20,792090856599746000,792090856619686000
-20,20,792090856709759000,792090856729681000
-21,20,792090856819746000,792090856839684000
-20,21,792090856929741000,792090856949791000
-21,21,792090857039628000,792090857059783000
-20,21,792090857149640000,792090857169763000
-21,20,792090857259747000,792090857279687000
-20,20,792090857369747000,792090857389724000
-21,20,792090857479745000,792090857499690000
-20,20,792090857589752000,792090857609687000
-20,20,792090857699761000,792090857719685000
-21,20,792090857809746000,792090857829682000
-21,20,792090857919748000,792090857939686000
-20,20,792090858029754000,792090858049688000
-20,20,792090858139749000,792090858159686000
-20,20,792090858249748000,792090858269684000
-21,21,792090858359741000,792090858379962000
-20,21,792090858469634000,792090858489786000
-20,21,792090858579633000,792090858599989000
-20,20,792090858689845000,792090858709682000
-20,20,792090858799750000,792090858819680000
-21,20,792090858909754000,792090858929681000
-20,20,792090859019748000,792090859039690000
-21,20,792090859129746000,792090859149690000
-21,21,792090859239748000,792090859259811000
-21,20,792090859349763000,792090859369688000
-21,20,792090859459758000,792090859479681000
-20,20,792090859569746000,792090859589683000
