RSSI,Ping,send_time_echoer,recv_time_echoer
-69,NA,792088846955091000,792088846953174000
-70,NA,792088847054833000,792088847053003000
-67,NA,792088847164842000,792088847163017000
NA,NA,NA,NA
-67,NA,792088847384913000,792088847383083000
NA,NA,NA,NA
-66,NA,792088847604873000,792088847603036000
-67,NA,792088847714852000,792088847713032000
-67,NA,792088847824869000,792088847823016000
-67,NA,792088847934801000,792088847932968000
NA,NA,NA,NA
NA,NA,NA,NA
-73,NA,792088848274876000,792088848273014000
-68,NA,792088848384847000,792088848383003000
NA,NA,NA,NA
-67,NA,792088848604922000,792088848603041000
-67,NA,792088848714867000,792088848713034000
-67,NA,792088848834894000,792088848833012000
-68,NA,792088848934852000,792088848933015000
-67,NA,792088849044870000,792088849043014000
-68,NA,792088849164850000,792088849163007000
-69,NA,792088849274877000,792088849273015000
-66,NA,792088849384899000,792088849383008000
NA,NA,NA,NA
-69,NA,792088849604898000,792088849603039000
NA,NA,NA,NA
-67,NA,792088849824896000,792088849823037000
-67,NA,792088849944862000,792088849943007000
-72,NA,792088850054874000,792088850053018000
-68,NA,792088850154862000,792088850153004000
-67,NA,792088850274942000,792088850273015000
-67,NA,792088850394833000,792088850393005000
-69,NA,792088850504785000,792088850502969000
-69,NA,792088850614856000,792088850613008000
NA,NA,NA,NA
-68,NA,792088850844888000,792088850843026000
-67,NA,792088850944859000,792088850943015000
-64,NA,792088851054874000,792088851052972000
-65,NA,792088851164803000,792088851162986000
-64,NA,792088851274807000,792088851272971000
-63,NA,792088851384860000,792088851383016000
-63,NA,792088851494856000,792088851493009000
-64,NA,792088851604902000,792088851603033000
-63,NA,792088851714861000,792088851713004000
-62,NA,792088851824883000,792088851823004000
-62,NA,792088851934967000,792088851933031000
-63,NA,792088852044830000,792088852043000000
-62,NA,792088852154867000,792088852153011000
-62,NA,792088852264866000,792088852263004000
-62,NA,792088852387186000,792088852383013000
-62,NA,792088852484835000,792088852483025000
-62,NA,792088852604838000,792088852603033000
-64,NA,792088852704816000,792088852703003000
-65,NA,792088852814829000,792088852813014000
-64,NA,792088852924841000,792088852923015000
-65,NA,792088853034913000,792088853032998000
-65,NA,792088853154810000,792088853153016000
-64,NA,792088853254770000,792088853252975000
-65,NA,792088853364811000,792088853363018000
-65,NA,792088853474812000,792088853473011000
-63,NA,792088853594822000,792088853593010000
-65,NA,792088853694849000,792088853693027000
-65,NA,792088853804828000,792088853803010000
-65,NA,792088853914848000,792088853913011000
NA,NA,NA,NA
NA,NA,NA,NA
-68,NA,792088854244796000,792088854242965000
-67,NA,792088854354855000,792088854353018000
-68,NA,792088854474859000,792088854473001000
-69,NA,792088854574996000,792088854573039000
NA,NA,NA,NA
-69,NA,792088854804920000,792088854803031000
-68,NA,792088854904823000,792088854903007000
-68,NA,792088855024790000,792088855022969000
-69,NA,792088855134839000,792088855133015000
-67,NA,792088855234906000,792088855233072000
NA,NA,NA,NA
-67,NA,792088855454834000,792088855453003000
-67,NA,792088855574882000,792088855573038000
-66,NA,792088855674895000,792088855673031000
-65,NA,792088855784880000,792088855783017000
-65,NA,792088855894873000,792088855893010000
-66,NA,792088856014924000,792088856013016000
-64,NA,792088856114919000,792088856113012000
-64,NA,792088856224919000,792088856223007000
-64,NA,792088856335019000,792088856333015000
-64,NA,792088856444868000,792088856443009000
-63,NA,792088856564881000,792088856563045000
-64,NA,792088856684874000,792088856683036000
-64,NA,792088856794853000,792088856793015000
-64,NA,792088856914844000,792088856913013000
-63,NA,792088857024852000,792088857022969000
-64,NA,792088857144820000,792088857142981000
-64,NA,792088857254863000,792088857253014000
-64,NA,792088857364841000,792088857363010000
-64,NA,792088857474858000,792088857473006000
-64,NA,792088857594873000,792088857593008000
-64,NA,792088857704888000,792088857703027000
-63,NA,792088857814874000,792088857813014000
-63,NA,792088857934871000,792088857933012000
