RSSI,Ping,send_time_sender,recv_time_sender
-79,21,792088917863553000,792088917885372000
-86,20,792088917975401000,792088917995344000
NA,NA,792088918085400000,NA
NA,NA,792088918195275000,NA
NA,NA,792088918305278000,NA
NA,NA,792088918415347000,NA
-73,40,792088918525280000,792088918565348000
-68,20,792088918635403000,792088918655347000
-66,20,792088918745416000,792088918765342000
-68,20,792088918855402000,792088918875349000
NA,NA,792088918975406000,NA
-75,51,792088919085273000,792088919135412000
-76,20,792088919195317000,792088919215345000
-74,10,792088919305410000,792088919315344000
-76,20,792088919415414000,792088919435344000
NA,NA,792088919525342000,NA
NA,NA,792088919665179000,NA
NA,NA,792088919775358000,NA
-77,40,792088919905299000,792088919945356000
-73,20,792088920015398000,792088920035345000
-79,20,792088920125405000,792088920145342000
-81,10,792088920235407000,792088920245348000
-77,51,792088920345422000,792088920395443000
-77,31,792088920455280000,792088920485465000
NA,NA,792088920565409000,NA
-74,21,792088920675418000,792088920695399000
NA,NA,792088920785400000,NA
-76,30,792088920895268000,792088920925349000
NA,NA,792088921005407000,NA
NA,NA,792088921125416000,NA
NA,NA,792088921235283000,NA
-76,10,792088921345333000,792088921355346000
-76,20,792088921455424000,792088921475349000
-76,10,792088921565401000,792088921575345000
-75,11,792088921675406000,792088921685643000
-74,31,792088921785396000,792088921815579000
-73,39,792088921895616000,792088921935343000
NA,NA,792088922005414000,NA
-73,30,792088922115275000,792088922145364000
-76,50,792088922225403000,792088922275348000
-75,41,792088922335591000,792088922376519000
-78,20,792088922485318000,792088922505348000
NA,NA,792088922595395000,NA
NA,NA,792088922705347000,NA
NA,NA,792088922815271000,NA
NA,NA,792088922925296000,NA
-75,11,792088923035267000,792088923045562000
-74,40,792088923145402000,792088923185343000
NA,NA,792088923255406000,NA
-75,41,792088923365417000,792088923405451000
-76,20,792088923495396000,792088923515347000
NA,NA,792088923605404000,NA
NA,NA,792088923715348000,NA
-76,141,792088923825452000,792088923965445000
-73,40,792088923935409000,792088923975353000
NA,NA,792088924045560000,NA
NA,NA,792088924155277000,NA
-73,10,792088924265408000,792088924275353000
NA,NA,792088924375414000,NA
-72,21,792088924485267000,792088924506148000
-72,10,792088924615308000,792088924625351000
-70,20,792088924725434000,792088924745346000
-70,11,792088924835407000,792088924845425000
-73,20,792088924945405000,792088924965341000
NA,NA,792088925055346000,NA
-71,31,792088925165275000,792088925195439000
NA,NA,792088925275388000,NA
NA,NA,792088925385351000,NA
-70,30,792088925495284000,792088925525346000
-72,30,792088925605426000,792088925635353000
NA,NA,792088925715427000,NA
-72,20,792088925845325000,792088925865344000
-72,20,792088925955407000,792088925975341000
-73,31,792088926065406000,792088926095474000
-71,20,792088926175283000,792088926195341000
-72,41,792088926285364000,792088926325439000
-69,31,792088926395333000,792088926425440000
-70,50,792088926505394000,792088926555301000
NA,NA,792088926635409000,NA
NA,NA,792088926745364000,NA
-72,11,792088926855276000,792088926865657000
-72,10,792088926965410000,792088926975344000
-75,10,792088927075402000,792088927085345000
-73,11,792088927185407000,792088927195664000
-75,20,792088927295406000,792088927315344000
-72,21,792088927405415000,792088927425402000
-72,31,792088927515290000,792088927545443000
-73,21,792088927625286000,792088927645442000
-73,31,792088927735436000,792088927765384000
-69,30,792088927855503000,792088927885347000
NA,NA,792088927965431000,NA
-67,21,792088928075265000,792088928095711000
-73,11,792088928195407000,792088928205564000
-72,20,792088928305410000,792088928325350000
-70,20,792088928415410000,792088928435343000
-73,20,792088928525404000,792088928545343000
NA,NA,792088928635400000,NA
-73,31,792088928745345000,792088928775455000
NA,NA,792088928855303000,NA
NA,NA,792088928965279000,NA
