RSSI,Ping,send_time_echoer,recv_time_echoer
-87,NA,792603552274137000,792603552272746000
-87,NA,792603552383970000,792603552382698000
-87,NA,792603552494010000,792603552492711000
-89,NA,792603552603945000,792603552602701000
-88,NA,792603552714014000,792603552712724000
-88,NA,792603552823957000,792603552822701000
-88,NA,792603552933980000,792603552932717000
-89,NA,792603553043994000,792603553042713000
-87,NA,792603553154025000,792603553152704000
-88,NA,792603553264002000,792603553262718000
-87,NA,792603553374036000,792603553372716000
-88,NA,792603553484013000,792603553482713000
-87,NA,792603553594008000,792603553592713000
-88,NA,792603553704023000,792603553702729000
-87,NA,792603553813993000,792603553812714000
-88,NA,792603553923988000,792603553922715000
-89,NA,792603554033982000,792603554032708000
-88,NA,792603554144401000,792603554142855000
-87,NA,792603554254220000,792603554252863000
-87,NA,792603554364221000,792603554362859000
-87,NA,792603554474230000,792603554472858000
-87,NA,792603554584220000,792603554582862000
-86,NA,792603554694246000,792603554692871000
-86,NA,792603554804297000,792603554802861000
-87,NA,792603554914228000,792603554912865000
-87,NA,792603555024249000,792603555022862000
-87,NA,792603555134234000,792603555132865000
-87,NA,792603555244223000,792603555242866000
-87,NA,792603555354230000,792603555352865000
-87,NA,792603555464297000,792603555462863000
-87,NA,792603555574227000,792603555572871000
-87,NA,792603555684249000,792603555682875000
-86,NA,792603555794264000,792603555792871000
-88,NA,792603555904246000,792603555902872000
-88,NA,792603556014252000,792603556012874000
-88,NA,792603556124256000,792603556122870000
-88,NA,792603556234264000,792603556232878000
-87,NA,792603556344435000,792603556342874000
-90,NA,792603556454227000,792603556452871000
-88,NA,792603556564225000,792603556562875000
-90,NA,792603556674288000,792603556672886000
-88,NA,792603556784282000,792603556782881000
-90,NA,792603556894264000,792603556892885000
-90,NA,792603557004276000,792603557002882000
-88,NA,792603557114279000,792603557112882000
-88,NA,792603557224264000,792603557222885000
-87,NA,792603557334135000,792603557332793000
-89,NA,792603557444420000,792603557442876000
-88,NA,792603557554256000,792603557552885000
-90,NA,792603557664284000,792603557662882000
-90,NA,792603557774288000,792603557772887000
-92,NA,792603557884266000,792603557882889000
-92,NA,792603557994223000,792603557992806000
-94,NA,792603558104220000,792603558102797000
-93,NA,792603558214295000,792603558212889000
-92,NA,792603558324235000,792603558322802000
-91,NA,792603558434228000,792603558432792000
-89,NA,792603558544276000,792603558542891000
-88,NA,792603558654271000,792603558652899000
-89,NA,792603558764407000,792603558762801000
-87,NA,792603558874224000,792603558872803000
-89,NA,792603558984224000,792603558982798000
-87,NA,792603559094236000,792603559092802000
-87,NA,792603559204235000,792603559202806000
-88,NA,792603559314239000,792603559312798000
-88,NA,792603559424238000,792603559422801000
-89,NA,792603559534228000,792603559532806000
-90,NA,792603559644309000,792603559642904000
-89,NA,792603559754250000,792603559752799000
-89,NA,792603559864223000,792603559862803000
-87,NA,792603559974229000,792603559972803000
-87,NA,792603560084245000,792603560082801000
-87,NA,792603560194234000,792603560192804000
-89,NA,792603560304400000,792603560302792000
-86,NA,792603560414239000,792603560412801000
-89,NA,792603560524238000,792603560522806000
-88,NA,792603560634316000,792603560632910000
-88,NA,792603560744249000,792603560742800000
-89,NA,792603560854242000,792603560852816000
-88,NA,792603560964251000,792603560962798000
-87,NA,792603561074244000,792603561072803000
-89,NA,792603561184238000,792603561182798000
-89,NA,792603561294160000,792603561292804000
-89,NA,792603561404148000,792603561402791000
-87,NA,792603561514240000,792603561512806000
-88,NA,792603561624349000,792603561622966000
-88,NA,792603561734259000,792603561732808000
-88,NA,792603561844264000,792603561842811000
-90,NA,792603561954250000,792603561952801000
-86,NA,792603562064240000,792603562062798000
-89,NA,792603562174154000,792603562172807000
-90,NA,792603562284249000,792603562282797000
-88,NA,792603562394173000,792603562392797000
-88,NA,792603562504154000,792603562502802000
-87,NA,792603562614244000,792603562612808000
-88,NA,792603562724279000,792603562722824000
-88,NA,792603562834166000,792603562832804000
-87,NA,792603562944424000,792603562942796000
-87,NA,792603563054167000,792603563052799000
-87,NA,792603563164257000,792603563162809000
