RSSI,Ping,send_time_sender,recv_time_sender
-60,18,436634834000,436652704000
-60,21,436742693000,436762688000
-63,21,436852670000,436872690000
-56,21,436962663000,436982691000
-53,21,437072664000,437092690000
-53,20,437182881000,437202697000
-55,21,437292663000,437312688000
-55,21,437402669000,437422693000
-52,21,437512665000,437532685000
-54,21,437622669000,437642697000
-53,21,437732668000,437752681000
-53,21,437842670000,437862695000
-53,21,437952663000,437972689000
-55,21,438062675000,438082693000
-53,21,438172664000,438192754000
-53,21,438282666000,438302689000
-53,21,438392677000,438412682000
-54,21,438502671000,438522695000
-53,21,438612671000,438632689000
-53,21,438722673000,438742712000
-54,21,438832673000,438852685000
-53,21,438942671000,438962693000
-53,21,439052666000,439072683000
-53,21,439162668000,439182937000
-55,21,439272673000,439292681000
-55,21,439382673000,439402687000
-55,21,439492660000,439512682000
-53,21,439602669000,439622693000
-53,21,439712670000,439732683000
-55,21,439822671000,439842689000
-53,20,439932847000,439952686000
-53,21,440042668000,440062690000
-53,21,440152663000,440172682000
-53,21,440262701000,440282697000
-54,21,440372664000,440392683000
-55,21,440482666000,440502689000
-54,21,440592664000,440612686000
-53,21,440702670000,440722693000
-54,21,440812658000,440832687000
-53,21,440922665000,440942691000
-53,21,441032668000,441052689000
-53,21,441142666000,441162691000
-55,21,441252692000,441272696000
-53,21,441362672000,441382690000
-55,21,441472675000,441492688000
-54,21,441582667000,441602692000
-53,21,441692675000,441712687000
-53,21,441802666000,441822687000
-53,21,441912663000,441932698000
-53,21,442022670000,442042691000
-52,21,442132664000,442152688000
-53,21,442242691000,442262697000
-53,21,442352668000,442372681000
-53,21,442462662000,442482688000
-54,21,442572658000,442592689000
-53,21,442682668000,442702688000
-54,21,442792664000,442812683000
-53,21,442902666000,442922692000
-53,21,443012671000,443032683000
-55,21,443122661000,443142688000
-53,21,443232683000,443252692000
-53,21,443342670000,443362689000
-54,21,443452668000,443472690000
-55,21,443562668000,443582694000
-53,21,443672674000,443692688000
-55,21,443782670000,443802693000
-55,21,443892670000,443912689000
-55,21,444002664000,444022691000
-53,21,444112664000,444132691000
-53,21,444222698000,444242698000
-50,21,444332664000,444352683000
-54,21,444442663000,444462688000
-55,21,444552694000,444572690000
-53,21,444662699000,444682689000
-53,21,444772660000,444792681000
-54,21,444882670000,444902693000
-55,21,444992664000,445012684000
-55,21,445102666000,445122689000
-55,21,445212683000,445232695000
-55,21,445322663000,445342689000
-53,21,445432678000,445452689000
-53,21,445542665000,445562692000
-53,21,445652668000,445672686000
-53,21,445762664000,445782692000
-53,21,445872664000,445892690000
-55,21,445982672000,446002691000
-53,21,446092666000,446112689000
-55,21,446202693000,446222695000
-53,21,446312661000,446332686000
-54,21,446422666000,446442694000
-54,21,446532668000,446552690000
-53,21,446642670000,446662691000
-53,21,446752659000,446772685000
-53,21,446862668000,446882693000
-55,21,446972665000,446992688000
-53,21,447082660000,447102691000
-53,21,447192688000,447212692000
-53,21,447302663000,447322685000
-55,21,447412666000,447432688000
-53,21,447522666000,447542692000
