RSSI,Ping,send_time_echoer,recv_time_echoer
-33,NA,792156663077881000,792156663076071000
-36,NA,792156663082664000,792156663080929000
-36,NA,792156663096450000,792156663085741000
-36,NA,792156663197810000,792156663196039000
-36,NA,792156663307922000,792156663306163000
-36,NA,792156663417887000,792156663416139000
-36,NA,792156663527911000,792156663526148000
-36,NA,792156663637877000,792156663636131000
-36,NA,792156663747925000,792156663746148000
-35,NA,792156663858117000,792156663856355000
-35,NA,792156663967963000,792156663966172000
-36,NA,792156664077899000,792156664076142000
-35,NA,792156664187929000,792156664186143000
-36,NA,792156664297913000,792156664296146000
-35,NA,792156664407904000,792156664406144000
-36,NA,792156664517906000,792156664516144000
-36,NA,792156664627910000,792156664626152000
-36,NA,792156664737957000,792156664736143000
-35,NA,792156664847912000,792156664846150000
-36,NA,792156664957974000,792156664956210000
-36,NA,792156665067917000,792156665066152000
-35,NA,792156665177919000,792156665176150000
-37,NA,792156665287908000,792156665286144000
-35,NA,792156665397989000,792156665396149000
-35,NA,792156665507924000,792156665506154000
-36,NA,792156665617924000,792156665616149000
-35,NA,792156665727923000,792156665726153000
-35,NA,792156665828251000,792156665826472000
-36,NA,792156665947956000,792156665946172000
-36,NA,792156666058022000,792156666056172000
-35,NA,792156666167933000,792156666166146000
-36,NA,792156666277941000,792156666276153000
-36,NA,792156666387938000,792156666386155000
-36,NA,792156666497930000,792156666496149000
-35,NA,792156666607940000,792156666606155000
-35,NA,792156666717936000,792156666716150000
-35,NA,792156666827930000,792156666826144000
-35,NA,792156666938068000,792156666936181000
-36,NA,792156667047967000,792156667046176000
-35,NA,792156667157933000,792156667156139000
-35,NA,792156667258280000,792156667256484000
-36,NA,792156667377940000,792156667376146000
-35,NA,792156667487946000,792156667486156000
-35,NA,792156667598027000,792156667596148000
-36,NA,792156667707965000,792156667706161000
-36,NA,792156667817941000,792156667816142000
-36,NA,792156667927981000,792156667926179000
-36,NA,792156668038095000,792156668036169000
-36,NA,792156668148003000,792156668146152000
-35,NA,792156668257954000,792156668256147000
-35,NA,792156668367957000,792156668366152000
-35,NA,792156668477958000,792156668476146000
-35,NA,792156668587949000,792156668586144000
-35,NA,792156668697955000,792156668696150000
-36,NA,792156668798299000,792156668796483000
-35,NA,792156668917998000,792156668916181000
-35,NA,792156669027984000,792156669026171000
-35,NA,792156669137962000,792156669136144000
-35,NA,792156669247969000,792156669246152000
-34,NA,792156669358102000,792156669356141000
-35,NA,792156669468020000,792156669466140000
-35,NA,792156669577972000,792156669576144000
-35,NA,792156669687960000,792156669686142000
-36,NA,792156669797972000,792156669796144000
-36,NA,792156669908010000,792156669906183000
-36,NA,792156670017994000,792156670016164000
-35,NA,792156670127977000,792156670126152000
-35,NA,792156670228331000,792156670226495000
-36,NA,792156670347965000,792156670346139000
-35,NA,792156670457978000,792156670456146000
-36,NA,792156670567967000,792156670566139000
-35,NA,792156670677990000,792156670676148000
-36,NA,792156670787994000,792156670786155000
-36,NA,792156670898193000,792156670896182000
-36,NA,792156671008027000,792156671006172000
-36,NA,792156671117986000,792156671116144000
-35,NA,792156671227985000,792156671226147000
-36,NA,792156671337991000,792156671336147000
-36,NA,792156671447985000,792156671446144000
-35,NA,792156671558000000,792156671556144000
-35,NA,792156671668002000,792156671666150000
-35,NA,792156671780679000,792156671776143000
-34,NA,792156671887949000,792156671886191000
-34,NA,792156671997898000,792156671996166000
-34,NA,792156672107872000,792156672106139000
-33,NA,792156672217881000,792156672216147000
-33,NA,792156672327876000,792156672326139000
-34,NA,792156672437883000,792156672436147000
-34,NA,792156672547886000,792156672546147000
-35,NA,792156672657886000,792156672656147000
-34,NA,792156672767889000,792156672766147000
-34,NA,792156672877944000,792156672876183000
-35,NA,792156672987928000,792156672986171000
-34,NA,792156673097898000,792156673096141000
-35,NA,792156673198260000,792156673196507000
-35,NA,792156673317890000,792156673316135000
-35,NA,792156673427908000,792156673426149000
-35,NA,792156673541340000,792156673536145000
-34,NA,792156673647887000,792156673646156000
-35,NA,792156673757877000,792156673756153000
