RSSI,Ping,send_time_sender,recv_time_sender
-37,17,792155958207939000,792155958224161000
-37,20,792155958314131000,792155958334078000
-37,20,792155958424139000,792155958444067000
-37,20,792155958534138000,792155958554070000
-36,20,792155958644143000,792155958664078000
-37,20,792155958754145000,792155958774073000
-37,20,792155958864139000,792155958884069000
-37,20,792155958974146000,792155958994072000
-37,20,792155959084138000,792155959104072000
-37,21,792155959194136000,792155959214113000
-36,20,792155959304136000,792155959324071000
-35,20,792155959414137000,792155959434069000
-35,21,792155959524133000,792155959544343000
-35,21,792155959634028000,792155959654166000
-35,21,792155959744013000,792155959764147000
-35,20,792155959854137000,792155959874072000
-35,20,792155959964144000,792155959984066000
-36,20,792155960074138000,792155960094078000
-35,21,792155960184138000,792155960204326000
-35,20,792155960294147000,792155960314079000
-35,20,792155960404133000,792155960424066000
-35,20,792155960514156000,792155960534077000
-35,20,792155960624137000,792155960644072000
-36,20,792155960734139000,792155960754073000
-35,20,792155960844136000,792155960864071000
-36,21,792155960954145000,792155960974523000
-36,21,792155961064074000,792155961084167000
-37,21,792155961174015000,792155961194162000
-37,20,792155961284332000,792155961304064000
-37,20,792155961394143000,792155961414078000
-37,20,792155961504139000,792155961524071000
-37,20,792155961614138000,792155961634076000
-37,20,792155961724138000,792155961744072000
-37,20,792155961834138000,792155961854075000
-36,20,792155961944146000,792155961964066000
-37,20,792155962054138000,792155962074070000
-37,20,792155962164140000,792155962184072000
-36,20,792155962274157000,792155962294076000
-36,20,792155962384135000,792155962404068000
-37,21,792155962494130000,792155962514175000
-37,21,792155962604014000,792155962624165000
-36,19,792155962714535000,792155962734068000
-36,20,792155962824144000,792155962844069000
-36,20,792155962934146000,792155962954070000
-37,20,792155963044139000,792155963064072000
-36,20,792155963154153000,792155963174073000
-37,20,792155963264152000,792155963284075000
-37,20,792155963374139000,792155963394068000
-37,20,792155963484138000,792155963504084000
-37,20,792155963594138000,792155963614074000
-37,20,792155963704148000,792155963724064000
-38,20,792155963814136000,792155963834066000
-38,21,792155963924145000,792155963944131000
-38,21,792155964034024000,792155964054167000
-38,21,792155964144015000,792155964164126000
-38,20,792155964254156000,792155964274073000
-38,20,792155964364139000,792155964384070000
-38,20,792155964474140000,792155964494074000
-39,20,792155964584139000,792155964604074000
-39,20,792155964694140000,792155964714066000
-38,20,792155964804141000,792155964824084000
-38,20,792155964914156000,792155964934066000
-38,20,792155965024137000,792155965044069000
-38,20,792155965134139000,792155965154074000
-37,20,792155965244149000,792155965264069000
-38,20,792155965354136000,792155965374068000
-38,21,792155965464132000,792155965484278000
-38,21,792155965574018000,792155965594163000
-38,19,792155965684513000,792155965704068000
-38,20,792155965794152000,792155965814074000
-39,19,792155965904333000,792155965924098000
-38,20,792155966014131000,792155966034076000
-38,20,792155966124137000,792155966144074000
-39,21,792155966234151000,792155966254276000
-39,20,792155966344135000,792155966364088000
-39,20,792155966454141000,792155966474073000
-39,20,792155966564137000,792155966584075000
-39,20,792155966674143000,792155966694074000
-37,20,792155966784137000,792155966804073000
-39,21,792155966894131000,792155966914167000
-39,21,792155967004014000,792155967024169000
-39,21,792155967114009000,792155967134137000
-39,19,792155967224348000,792155967244060000
-40,20,792155967334137000,792155967354066000
-39,20,792155967444139000,792155967464070000
-40,20,792155967554145000,792155967574074000
-40,20,792155967664139000,792155967684074000
-40,20,792155967774139000,792155967794074000
-40,21,792155967884138000,792155967904280000
-37,20,792155967994134000,792155968014075000
-40,20,792155968104137000,792155968124076000
-40,20,792155968214149000,792155968234069000
-40,20,792155968324139000,792155968344070000
-40,21,792155968434138000,792155968454255000
-39,21,792155968544014000,792155968564165000
-38,19,792155968654425000,792155968674068000
-38,20,792155968764145000,792155968784074000
-40,20,792155968874151000,792155968894070000
-40,20,792155968984150000,792155969004105000
-40,20,792155969094136000,792155969114075000
