RSSI,Ping,send_time_echoer,recv_time_echoer
-34,NA,792155986211820000,792155986209779000
-35,NA,792155986331097000,792155986329364000
-33,NA,792155986441097000,792155986439350000
-34,NA,792155986551122000,792155986549379000
-34,NA,792155986661134000,792155986659378000
-34,NA,792155986771078000,792155986769337000
-34,NA,792155986881108000,792155986879349000
-34,NA,792155986991080000,792155986989338000
-35,NA,792155987101113000,792155987099350000
-36,NA,792155987211231000,792155987209346000
-36,NA,792155987321436000,792155987319449000
-35,NA,792155987431295000,792155987429438000
-36,NA,792155987541345000,792155987539468000
-35,NA,792155987651309000,792155987649464000
-36,NA,792155987761283000,792155987759436000
-36,NA,792155987871285000,792155987869441000
-36,NA,792155987981299000,792155987979446000
-38,NA,792155988091394000,792155988089447000
-37,NA,792155988201304000,792155988199449000
-38,NA,792155988311284000,792155988309441000
-37,NA,792155988421282000,792155988419434000
-37,NA,792155988531323000,792155988529472000
-37,NA,792155988641312000,792155988639466000
-36,NA,792155988751369000,792155988749431000
-35,NA,792155988861286000,792155988859443000
-36,NA,792155988971285000,792155988969441000
-37,NA,792155989081286000,792155989079443000
-35,NA,792155989191284000,792155989189440000
-35,NA,792155989301278000,792155989299437000
-36,NA,792155989411401000,792155989409445000
-36,NA,792155989521316000,792155989519468000
-35,NA,792155989631308000,792155989629465000
-35,NA,792155989741289000,792155989739444000
-35,NA,792155989851279000,792155989849443000
-34,NA,792155989961284000,792155989959443000
-34,NA,792155990071284000,792155990069442000
-34,NA,792155990181279000,792155990179438000
-33,NA,792155990291394000,792155990289443000
-34,NA,792155990401271000,792155990399432000
-33,NA,792155990511498000,792155990509651000
-33,NA,792155990621313000,792155990619471000
-33,NA,792155990731293000,792155990729445000
-33,NA,792155990841285000,792155990839443000
-33,NA,792155990951279000,792155990949441000
-33,NA,792155991061279000,792155991059438000
-33,NA,792155991171284000,792155991169441000
-33,NA,792155991281278000,792155991279437000
-34,NA,792155991393706000,792155991389441000
-34,NA,792155991501134000,792155991499360000
-34,NA,792155991611124000,792155991609384000
-33,NA,792155991721108000,792155991719374000
-34,NA,792155991831090000,792155991829349000
-34,NA,792155991941081000,792155991939345000
-33,NA,792155992051087000,792155992049353000
-34,NA,792155992161080000,792155992159341000
-33,NA,792155992271089000,792155992269349000
-33,NA,792155992381091000,792155992379351000
-34,NA,792155992491096000,792155992489352000
-33,NA,792155992601128000,792155992599382000
-35,NA,792155992711262000,792155992709374000
-34,NA,792155992821155000,792155992819340000
-34,NA,792155992931100000,792155992929352000
-33,NA,792155993041090000,792155993039339000
-33,NA,792155993151103000,792155993149351000
-34,NA,792155993261109000,792155993259348000
-33,NA,792155993371111000,792155993369351000
-34,NA,792155993481116000,792155993479351000
-34,NA,792155993591164000,792155993589388000
-33,NA,792155993701149000,792155993699375000
-34,NA,792155993811106000,792155993809341000
-34,NA,792155993921128000,792155993919354000
-34,NA,792155994031113000,792155994029342000
-34,NA,792155994141129000,792155994139353000
-34,NA,792155994251300000,792155994249351000
-34,NA,792155994361154000,792155994359354000
-34,NA,792155994471122000,792155994469350000
-34,NA,792155994581157000,792155994579378000
-34,NA,792155994691158000,792155994689380000
-33,NA,792155994801130000,792155994799344000
-34,NA,792155994911139000,792155994909353000
-34,NA,792155995021145000,792155995019352000
-34,NA,792155995131142000,792155995129352000
-33,NA,792155995241139000,792155995239353000
-34,NA,792155995351148000,792155995349355000
-34,NA,792155995461123000,792155995459340000
-34,NA,792155995571178000,792155995569385000
-34,NA,792155995681163000,792155995679374000
-33,NA,792155995791130000,792155995789339000
-34,NA,792155995901140000,792155995899353000
-34,NA,792155996011140000,792155996009347000
-34,NA,792155996121147000,792155996119354000
-34,NA,792155996231153000,792155996229348000
-34,NA,792155996341143000,792155996339344000
-34,NA,792155996451148000,792155996449348000
-34,NA,792155996561172000,792155996559373000
-34,NA,792155996671179000,792155996669371000
-35,NA,792155996781155000,792155996779350000
-34,NA,792155996891390000,792155996889351000
-34,NA,792155997001151000,792155996999350000
-34,NA,792155997111155000,792155997109350000
