RSSI,Ping,send_time_sender,recv_time_sender
-34,10,792155985583713000,792155985594098000
-33,20,792155985694135000,792155985714076000
-33,20,792155985804136000,792155985824067000
-34,20,792155985914149000,792155985934067000
-33,20,792155986024137000,792155986044070000
-33,20,792155986134145000,792155986154068000
-33,20,792155986244149000,792155986264069000
-34,21,792155986354129000,792155986374179000
-34,21,792155986464011000,792155986484168000
-35,19,792155986574405000,792155986594071000
-35,20,792155986684163000,792155986704073000
-35,20,792155986794149000,792155986814078000
-35,19,792155986904324000,792155986924069000
-35,20,792155987014145000,792155987034070000
-36,20,792155987124138000,792155987144073000
-35,20,792155987234151000,792155987254070000
-36,19,792155987344591000,792155987364080000
-37,20,792155987454149000,792155987474082000
-37,20,792155987564149000,792155987584072000
-37,20,792155987674138000,792155987694069000
-37,21,792155987784130000,792155987804132000
-36,21,792155987894100000,792155987914177000
-36,21,792155988004019000,792155988024384000
-35,20,792155988114138000,792155988134080000
-35,20,792155988224147000,792155988244079000
-35,20,792155988334138000,792155988354076000
-35,20,792155988444136000,792155988464072000
-35,20,792155988554138000,792155988574074000
-35,20,792155988664137000,792155988684072000
-35,20,792155988774145000,792155988794072000
-35,21,792155988884139000,792155988904329000
-35,20,792155988994135000,792155989014069000
-34,20,792155989104137000,792155989124072000
-34,20,792155989214150000,792155989234074000
-33,21,792155989324132000,792155989344172000
-33,21,792155989434015000,792155989454168000
-33,20,792155989544108000,792155989564059000
-33,20,792155989654152000,792155989674080000
-33,20,792155989764139000,792155989784071000
-33,20,792155989874139000,792155989894072000
-32,20,792155989984153000,792155990004069000
-33,20,792155990094151000,792155990114075000
-32,19,792155990204369000,792155990224071000
-32,20,792155990314138000,792155990334070000
-33,20,792155990424139000,792155990444074000
-33,20,792155990534145000,792155990554072000
-33,20,792155990644137000,792155990664070000
-33,21,792155990754132000,792155990774339000
-33,21,792155990864023000,792155990884175000
-33,21,792155990974059000,792155990994151000
-33,20,792155991084131000,792155991104070000
-33,20,792155991194137000,792155991214114000
-33,20,792155991304138000,792155991324075000
-33,20,792155991414145000,792155991434077000
-33,20,792155991524137000,792155991544075000
-34,20,792155991634137000,792155991654077000
-33,20,792155991744137000,792155991764075000
-33,20,792155991854137000,792155991874076000
-33,21,792155991964146000,792155991984110000
-33,20,792155992074136000,792155992094069000
-33,21,792155992184134000,792155992204393000
-33,21,792155992294159000,792155992314170000
-33,21,792155992404013000,792155992424134000
-33,20,792155992514111000,792155992534062000
-33,20,792155992624146000,792155992644074000
-32,20,792155992734138000,792155992754076000
-33,20,792155992844138000,792155992864072000
-33,20,792155992954149000,792155992974069000
-33,20,792155993064154000,792155993084099000
-33,20,792155993174141000,792155993194072000
-33,20,792155993284149000,792155993304068000
-33,20,792155993394139000,792155993414072000
-33,20,792155993504194000,792155993524073000
-33,20,792155993614134000,792155993634085000
-33,21,792155993724151000,792155993744350000
-33,21,792155993834012000,792155993854166000
-34,21,792155993944060000,792155993964124000
-33,21,792155994054145000,792155994074205000
-33,20,792155994164146000,792155994184080000
-33,20,792155994274145000,792155994294078000
-33,20,792155994384151000,792155994404073000
-34,20,792155994494149000,792155994514081000
-33,21,792155994604134000,792155994624172000
-33,20,792155994714147000,792155994734073000
-34,20,792155994824138000,792155994844067000
-33,20,792155994934153000,792155994954068000
-33,20,792155995044139000,792155995064071000
-34,20,792155995154134000,792155995174068000
-34,21,792155995264130000,792155995284171000
-34,21,792155995374012000,792155995394165000
-33,20,792155995484114000,792155995504069000
-33,20,792155995594143000,792155995614074000
-34,20,792155995704141000,792155995724074000
-33,20,792155995814143000,792155995834074000
-33,20,792155995924149000,792155995944070000
-33,20,792155996034137000,792155996054073000
-33,20,792155996144138000,792155996164072000
-33,20,792155996254151000,792155996274069000
-33,20,792155996364133000,792155996384099000
-33,20,792155996474137000,792155996494078000
