RSSI,Ping,send_time_sender,recv_time_sender
-29,18,792091432895996000,792091432914283000
-28,20,792091433004311000,792091433024259000
-28,21,792091433114304000,792091433134361000
-29,21,792091433224244000,792091433244352000
-30,19,792091433334700000,792091433354259000
-29,20,792091433444349000,792091433464258000
-30,20,792091433554312000,792091433574253000
-30,20,792091433664312000,792091433684254000
-30,20,792091433774311000,792091433794258000
-30,20,792091433884314000,792091433904254000
-30,20,792091433994313000,792091434014258000
-30,20,792091434104313000,792091434124255000
-31,20,792091434214330000,792091434234261000
-31,20,792091434324321000,792091434344253000
-31,20,792091434434323000,792091434454257000
-31,21,792091434544305000,792091434564326000
-31,21,792091434654203000,792091434674370000
-31,21,792091434764327000,792091434784359000
-31,20,792091434874313000,792091434894258000
-31,20,792091434984314000,792091435004258000
-30,20,792091435094312000,792091435114262000
-30,20,792091435204327000,792091435224254000
-31,20,792091435314314000,792091435334259000
-31,19,792091435424435000,792091435444266000
-31,20,792091435534310000,792091435554259000
-31,21,792091435644313000,792091435664394000
-30,20,792091435754312000,792091435774257000
-31,20,792091435864310000,792091435884254000
-31,20,792091435974312000,792091435994255000
-30,21,792091436084313000,792091436104366000
-30,21,792091436194243000,792091436214358000
-30,19,792091436304416000,792091436324260000
-30,19,792091436414438000,792091436434284000
-31,20,792091436524311000,792091436544259000
-30,20,792091436634312000,792091436654260000
-31,20,792091436744310000,792091436764262000
-31,20,792091436854313000,792091436874260000
-30,20,792091436964318000,792091436984267000
-30,20,792091437074314000,792091437094254000
-30,20,792091437184323000,792091437204256000
-30,20,792091437294312000,792091437314255000
-30,21,792091437404314000,792091437424515000
-31,21,792091437514304000,792091437534321000
-30,21,792091437624326000,792091437644361000
-30,21,792091437734194000,792091437754356000
-30,20,792091437844317000,792091437864258000
-31,20,792091437954335000,792091437974259000
-31,20,792091438064328000,792091438084265000
-30,20,792091438174322000,792091438194255000
-31,20,792091438284311000,792091438304258000
-30,21,792091438394313000,792091438414383000
-30,20,792091438504319000,792091438524262000
-30,20,792091438614312000,792091438634263000
-30,20,792091438724319000,792091438744260000
-30,20,792091438834313000,792091438854256000
-30,20,792091438944309000,792091438964259000
-30,21,792091439054307000,792091439074363000
-30,21,792091439164241000,792091439184526000
-30,20,792091439274297000,792091439294257000
-30,20,792091439384319000,792091439404257000
-30,20,792091439494324000,792091439514272000
-30,20,792091439604316000,792091439624259000
-30,20,792091439714311000,792091439734259000
-31,20,792091439824313000,792091439844264000
-30,20,792091439934313000,792091439954259000
-30,20,792091440044311000,792091440064262000
-31,19,792091440154496000,792091440174258000
-30,20,792091440264312000,792091440284257000
-30,20,792091440374312000,792091440394255000
-31,21,792091440484327000,792091440504519000
-30,21,792091440594197000,792091440614362000
-30,21,792091440704195000,792091440724316000
-30,20,792091440814324000,792091440834257000
-31,20,792091440924311000,792091440944257000
-30,20,792091441034312000,792091441054256000
-30,21,792091441144312000,792091441164294000
-31,20,792091441254308000,792091441274262000
-31,20,792091441364318000,792091441384259000
-31,20,792091441474328000,792091441494256000
-30,20,792091441584310000,792091441604255000
-30,20,792091441694315000,792091441714260000
-30,20,792091441804315000,792091441824257000
-30,20,792091441914309000,792091441934256000
-30,21,792091442024268000,792091442044363000
-30,21,792091442134197000,792091442154541000
-31,20,792091442244323000,792091442264257000
-30,20,792091442354321000,792091442374261000
-30,20,792091442464328000,792091442484258000
-31,20,792091442574310000,792091442594256000
-31,20,792091442684313000,792091442704258000
-31,20,792091442794332000,792091442814262000
-30,20,792091442904310000,792091442924255000
-30,20,792091443014313000,792091443034262000
-30,20,792091443124320000,792091443144260000
-30,20,792091443234323000,792091443254252000
-30,20,792091443344310000,792091443364258000
-30,21,792091443454318000,792091443474477000
-31,21,792091443564199000,792091443584356000
-30,21,792091443674193000,792091443694307000
-31,20,792091443784323000,792091443804257000
