RSSI,Ping,send_time_echoer,recv_time_echoer
-35,NA,792155926681181000,792155926679354000
-32,NA,792155926685944000,792155926684209000
-38,NA,792155926699655000,792155926688963000
-41,NA,792155926801009000,792155926799238000
-40,NA,792155926911121000,792155926909364000
-39,NA,792155927021083000,792155927019337000
-39,NA,792155927131118000,792155927129349000
-33,NA,792155927241073000,792155927239328000
-38,NA,792155927351132000,792155927349349000
-38,NA,792155927461090000,792155927459335000
-36,NA,792155927571178000,792155927569384000
-36,NA,792155927681135000,792155927679373000
-39,NA,792155927791125000,792155927789340000
-38,NA,792155927901101000,792155927899345000
-37,NA,792155928011094000,792155928009340000
-38,NA,792155928121102000,792155928119342000
-38,NA,792155928231109000,792155928229350000
-38,NA,792155928341156000,792155928339344000
-37,NA,792155928451110000,792155928449349000
-38,NA,792155928561147000,792155928559377000
-35,NA,792155928671138000,792155928669373000
-38,NA,792155928781102000,792155928779333000
-36,NA,792155928891114000,792155928889350000
-35,NA,792155929001178000,792155928999333000
-35,NA,792155929111118000,792155929109350000
-37,NA,792155929221129000,792155929219346000
-37,NA,792155929331123000,792155929329352000
-38,NA,792155929441117000,792155929439340000
-37,NA,792155929551157000,792155929549376000
-36,NA,792155929661220000,792155929659367000
-37,NA,792155929771127000,792155929769342000
-35,NA,792155929881124000,792155929879347000
-37,NA,792155929991125000,792155929989348000
-39,NA,792155930101125000,792155930099344000
-38,NA,792155930211128000,792155930209348000
-38,NA,792155930321127000,792155930319344000
-39,NA,792155930431121000,792155930429340000
-39,NA,792155930541266000,792155930539382000
-36,NA,792155930651173000,792155930649376000
-37,NA,792155930761125000,792155930759333000
-37,NA,792155930871137000,792155930869351000
-37,NA,792155930981136000,792155930979342000
-36,NA,792155931091136000,792155931089349000
-35,NA,792155931201138000,792155931199342000
-36,NA,792155931311130000,792155931309341000
-37,NA,792155931421140000,792155931419342000
-36,NA,792155931531176000,792155931529376000
-36,NA,792155931641293000,792155931639372000
-35,NA,792155931751199000,792155931749350000
-35,NA,792155931861143000,792155931859344000
-36,NA,792155931971150000,792155931969348000
-36,NA,792155932081150000,792155932079344000
-35,NA,792155932191149000,792155932189344000
-35,NA,792155932301148000,792155932299348000
-34,NA,792155932411158000,792155932409343000
-35,NA,792155932521191000,792155932519374000
-35,NA,792155932631184000,792155932629373000
-36,NA,792155932741153000,792155932739340000
-35,NA,792155932851178000,792155932849356000
-34,NA,792155932961315000,792155932959346000
-35,NA,792155933071219000,792155933069340000
-36,NA,792155933181167000,792155933179344000
-35,NA,792155933291157000,792155933289342000
-35,NA,792155933401163000,792155933399342000
-34,NA,792155933511389000,792155933509562000
-34,NA,792155933621199000,792155933619363000
-35,NA,792155933731176000,792155933729352000
-34,NA,792155933841174000,792155933839342000
-36,NA,792155933951163000,792155933949340000
-35,NA,792155934061176000,792155934059343000
-33,NA,792155934171167000,792155934169341000
-37,NA,792155934281188000,792155934279346000
-32,NA,792155934391178000,792155934389350000
-35,NA,792155934501351000,792155934499340000
-35,NA,792155934611241000,792155934609383000
-35,NA,792155934721220000,792155934719371000
-35,NA,792155934831184000,792155934829344000
-36,NA,792155934941184000,792155934939347000
-37,NA,792155935051180000,792155935049339000
-35,NA,792155935161193000,792155935159344000
-37,NA,792155935271199000,792155935269347000
-37,NA,792155935383884000,792155935379344000
-35,NA,792155935491110000,792155935489355000
-36,NA,792155935601114000,792155935599379000
-35,NA,792155935711107000,792155935709372000
-35,NA,792155935821071000,792155935819336000
-36,NA,792155935931083000,792155935929348000
-37,NA,792155936041073000,792155936039335000
-36,NA,792155936151086000,792155936149348000
-36,NA,792155936261083000,792155936259343000
-36,NA,792155936371089000,792155936369348000
-35,NA,792155936481095000,792155936479343000
-37,NA,792155936591130000,792155936589372000
-36,NA,792155936701120000,792155936699367000
-36,NA,792155936811086000,792155936809335000
-36,NA,792155936921099000,792155936919345000
-37,NA,792155937031107000,792155937029347000
-36,NA,792155937144548000,792155937139346000
-37,NA,792155937251086000,792155937249356000
-39,NA,792155937361077000,792155937359350000
