RSSI,Ping,send_time_echoer,recv_time_echoer
-16,NA,792090773684789000,792090773683019000
-16,NA,792090773794714000,792090773792960000
-15,NA,792090773904724000,792090773902956000
-16,NA,792090774014706000,792090774012950000
-15,NA,792090774124763000,792090774122982000
-16,NA,792090774236691000,792090774232971000
-15,NA,792090774344732000,792090774342946000
-15,NA,792090774454715000,792090774452952000
-15,NA,792090774564726000,792090774562941000
-16,NA,792090774674690000,792090774672946000
-15,NA,792090774784726000,792090774782945000
-15,NA,792090774894704000,792090774892950000
-15,NA,792090775004718000,792090775002932000
-17,NA,792090775114729000,792090775112976000
-15,NA,792090775224720000,792090775222967000
-16,NA,792090775334687000,792090775332934000
-15,NA,792090775444715000,792090775442947000
-16,NA,792090775554759000,792090775552947000
-16,NA,792090775664704000,792090775662943000
-16,NA,792090775774700000,792090775772938000
-15,NA,792090775884691000,792090775882924000
-15,NA,792090775994706000,792090775992943000
-16,NA,792090776104918000,792090776103151000
-16,NA,792090776214807000,792090776212967000
-15,NA,792090776324713000,792090776322941000
-17,NA,792090776434713000,792090776432946000
-16,NA,792090776544740000,792090776542945000
-15,NA,792090776654719000,792090776652946000
-16,NA,792090776764717000,792090776762932000
-15,NA,792090776874799000,792090776872946000
-16,NA,792090776984717000,792090776982932000
-15,NA,792090777094723000,792090777092946000
-16,NA,792090777204777000,792090777203008000
-15,NA,792090777314733000,792090777312956000
-16,NA,792090777424730000,792090777422947000
-16,NA,792090777534729000,792090777532947000
-16,NA,792090777644723000,792090777642938000
-15,NA,792090777754823000,792090777752947000
-15,NA,792090777864717000,792090777862938000
-15,NA,792090777974731000,792090777972947000
-15,NA,792090778084739000,792090778082947000
-15,NA,792090778194820000,792090778193027000
-15,NA,792090778304760000,792090778302971000
-15,NA,792090778414740000,792090778412947000
-15,NA,792090778524742000,792090778522939000
-16,NA,792090778634744000,792090778632947000
-15,NA,792090778744741000,792090778742938000
-15,NA,792090778854871000,792090778852947000
-15,NA,792090778964796000,792090778962947000
-15,NA,792090779074750000,792090779072947000
-15,NA,792090779184790000,792090779182977000
-15,NA,792090779294781000,792090779292971000
-15,NA,792090779404751000,792090779402940000
-15,NA,792090779514757000,792090779512954000
-16,NA,792090779624751000,792090779622936000
-15,NA,792090779734773000,792090779732954000
-16,NA,792090779844761000,792090779842945000
-15,NA,792090779954763000,792090779952950000
-16,NA,792090780064764000,792090780062945000
-16,NA,792090780174946000,792090780172984000
-16,NA,792090780284850000,792090780282969000
-16,NA,792090780394748000,792090780392938000
-16,NA,792090780504771000,792090780502947000
-16,NA,792090780614760000,792090780612939000
-16,NA,792090780724773000,792090780722947000
-16,NA,792090780834782000,792090780832951000
-15,NA,792090780944776000,792090780942947000
-16,NA,792090781064784000,792090781062951000
-15,NA,792090781184810000,792090781182972000
-16,NA,792090781294802000,792090781292971000
-16,NA,792090781404771000,792090781402936000
-16,NA,792090781514783000,792090781512950000
-16,NA,792090781624782000,792090781622945000
-15,NA,792090781734959000,792090781732950000
-15,NA,792090781844795000,792090781842945000
-16,NA,792090781954786000,792090781952950000
-15,NA,792090782064782000,792090782062939000
-16,NA,792090782174832000,792090782172987000
-15,NA,792090782284806000,792090782282969000
-15,NA,792090782394790000,792090782392938000
-16,NA,792090782504800000,792090782502947000
-15,NA,792090782614794000,792090782612947000
-15,NA,792090782724796000,792090782722948000
-17,NA,792090782834796000,792090782832947000
-15,NA,792090782944789000,792090782942939000
-15,NA,792090783054799000,792090783052947000
-15,NA,792090783164827000,792090783162969000
-16,NA,792090783274817000,792090783272971000
-15,NA,792090783384801000,792090783382945000
-15,NA,792090783494806000,792090783492950000
-17,NA,792090783604804000,792090783602945000
-16,NA,792090783714817000,792090783712950000
-17,NA,792090783824808000,792090783822940000
-15,NA,792090783934813000,792090783932950000
-15,NA,792090784044801000,792090784042936000
-16,NA,792090784154854000,792090784152985000
-15,NA,792090784264840000,792090784262969000
-15,NA,792090784375129000,792090784372947000
-15,NA,792090784484810000,792090784482949000
-15,NA,792090784594808000,792090784592947000
