RSSI,Ping,send_time_sender,recv_time_sender
-28,223,792090570400419000,792090570623305000
-27,120,792090570509620000,792090570629727000
-27,31,792090570619617000,792090570649819000
-27,21,792090570729635000,792090570749789000
-28,19,792090570840156000,792090570859682000
-26,20,792090570949763000,792090570969691000
-28,20,792090571059750000,792090571079682000
-27,20,792090571169749000,792090571189686000
-27,20,792090571279749000,792090571299684000
-27,20,792090571389759000,792090571409684000
-27,20,792090571499749000,792090571519684000
-27,20,792090571609748000,792090571629684000
-27,20,792090571719764000,792090571739685000
-27,20,792090571829753000,792090571849684000
-28,20,792090571939750000,792090571959686000
-29,21,792090572049741000,792090572069749000
-28,21,792090572159629000,792090572179793000
-27,21,792090572269631000,792090572289795000
-27,19,792090572379932000,792090572399685000
-27,20,792090572489750000,792090572509685000
-27,20,792090572599751000,792090572619689000
-27,20,792090572709770000,792090572729693000
-26,20,792090572819747000,792090572839690000
-27,20,792090572929749000,792090572949691000
-27,20,792090573039748000,792090573059686000
-25,20,792090573149748000,792090573169688000
-28,20,792090573259748000,792090573279690000
-26,21,792090573369748000,792090573389719000
-29,20,792090573479745000,792090573499685000
-26,21,792090573589747000,792090573609794000
-28,21,792090573699686000,792090573719786000
-30,19,792090573809983000,792090573829689000
-30,20,792090573919752000,792090573939688000
-27,20,792090574029749000,792090574049689000
-26,20,792090574139749000,792090574159689000
-26,20,792090574249749000,792090574269689000
-28,21,792090574359750000,792090574379897000
-25,20,792090574469751000,792090574489696000
-28,20,792090574579748000,792090574599687000
-27,20,792090574689764000,792090574709687000
-26,20,792090574799747000,792090574819685000
-28,20,792090574909749000,792090574929687000
-28,21,792090575019742000,792090575039750000
-28,21,792090575129680000,792090575149789000
-27,21,792090575239632000,792090575259754000
-27,20,792090575349765000,792090575369684000
-28,20,792090575459767000,792090575479682000
-26,20,792090575569744000,792090575589687000
-27,20,792090575679761000,792090575699698000
-27,20,792090575789749000,792090575809685000
-27,21,792090575899747000,792090575919846000
-26,20,792090576009755000,792090576029682000
-27,20,792090576119750000,792090576139683000
-27,20,792090576229755000,792090576249685000
-27,20,792090576339747000,792090576359686000
-27,20,792090576449751000,792090576469684000
-27,21,792090576559740000,792090576579793000
-27,21,792090576669685000,792090576689785000
-27,19,792090576780052000,792090576799685000
-27,20,792090576889755000,792090576909685000
-27,20,792090576999749000,792090577019700000
-27,20,792090577109755000,792090577129689000
-27,20,792090577219748000,792090577239690000
-27,20,792090577329749000,792090577349690000
-27,20,792090577439758000,792090577459683000
-27,20,792090577549746000,792090577569686000
-27,20,792090577659761000,792090577679684000
-27,20,792090577769748000,792090577789686000
-27,20,792090577879747000,792090577899685000
-27,21,792090577989748000,792090578009750000
-27,21,792090578099641000,792090578119791000
-27,21,792090578209632000,792090578229747000
-27,20,792090578319757000,792090578339688000
-27,20,792090578429758000,792090578449690000
-27,20,792090578539766000,792090578559712000
-27,20,792090578649764000,792090578669685000
-27,20,792090578759747000,792090578779688000
-27,20,792090578869756000,792090578889690000
-28,20,792090578979747000,792090578999689000
-27,20,792090579089749000,792090579109691000
-27,20,792090579199752000,792090579219690000
-27,20,792090579309754000,792090579329684000
-27,20,792090579419756000,792090579439685000
-27,21,792090579529690000,792090579549791000
-27,20,792090579639920000,792090579659780000
-28,20,792090579749741000,792090579769693000
-27,20,792090579859754000,792090579879690000
-27,20,792090579969749000,792090579989690000
-28,20,792090580079746000,792090580099690000
-27,20,792090580189749000,792090580209690000
-27,20,792090580299746000,792090580319690000
-27,20,792090580409757000,792090580429681000
-27,20,792090580519749000,792090580539686000
-28,21,792090580629756000,792090580649733000
-27,20,792090580739743000,792090580759691000
-27,20,792090580849747000,792090580869688000
-28,21,792090580959739000,792090580979985000
-27,21,792090581069634000,792090581089791000
-27,21,792090581179629000,792090581199789000
-27,20,792090581289751000,792090581309690000
