RSSI,Ping,send_time_sender,recv_time_sender
-46,26,792088624209535000,792088624235437000
-45,20,792088624325592000,792088624345380000
-44,30,792088624435406000,792088624465342000
-44,20,792088624545401000,792088624565348000
-44,21,792088624655404000,792088624675662000
-43,10,792088624765425000,792088624775354000
-43,30,792088624875402000,792088624905343000
-42,20,792088624985405000,792088625005339000
-43,21,792088625095424000,792088625115522000
-43,20,792088625205398000,792088625225346000
-44,21,792088625315405000,792088625335562000
-44,31,792088625425389000,792088625455446000
-43,31,792088625545283000,792088625575421000
-44,30,792088625655510000,792088625685640000
-44,20,792088625785398000,792088625805349000
-44,21,792088625895402000,792088625916195000
-43,10,792088626025321000,792088626035350000
-43,20,792088626135426000,792088626155348000
-43,10,792088626245397000,792088626255345000
-44,41,792088626355415000,792088626396187000
-45,10,792088626505308000,792088626515352000
-45,30,792088626615410000,792088626645349000
-45,20,792088626725417000,792088626745341000
-45,10,792088626835406000,792088626845349000
-45,20,792088626945404000,792088626965348000
-46,20,792088627055404000,792088627075341000
-45,11,792088627165423000,792088627175574000
-45,40,792088627275423000,792088627315305000
-45,20,792088627405419000,792088627425339000
-45,30,792088627515412000,792088627545351000
-44,20,792088627625407000,792088627645349000
-45,11,792088627735417000,792088627745571000
-44,30,792088627845402000,792088627875341000
-43,21,792088627955404000,792088627975567000
-45,31,792088628065405000,792088628095572000
-44,30,792088628175400000,792088628205341000
-44,31,792088628285423000,792088628315403000
-44,20,792088628395353000,792088628415348000
-44,21,792088628505419000,792088628525453000
-45,31,792088628615284000,792088628645418000
-44,21,792088628725410000,792088628745682000
-44,20,792088628835412000,792088628855348000
-43,20,792088628945421000,792088628965352000
-44,30,792088629055422000,792088629085348000
-44,11,792088629165403000,792088629175679000
-45,30,792088629275411000,792088629305348000
-45,40,792088629385432000,792088629425312000
-44,40,792088629525432000,792088629565308000
-44,31,792088629655422000,792088629685677000
-44,20,792088629765397000,792088629785348000
-44,10,792088629875401000,792088629885348000
-44,10,792088629985402000,792088629995351000
-45,10,792088630095404000,792088630105350000
-44,30,792088630205430000,792088630235342000
-44,21,792088630315403000,792088630335551000
-45,10,792088630425402000,792088630435350000
-45,20,792088630535401000,792088630555347000
-44,10,792088630645423000,792088630655353000
-45,21,792088630755416000,792088630775442000
-44,11,792088630865417000,792088630875410000
-44,40,792088630975320000,792088631015316000
-44,40,792088631115410000,792088631155303000
-72,10,792088631245401000,792088631255345000
-45,21,792088631355413000,792088631375482000
-45,20,792088631465402000,792088631485343000
-45,31,792088631575398000,792088631605376000
-46,50,792088631705420000,792088631755302000
-46,20,792088631835405000,792088631855344000
-46,20,792088631945424000,792088631965349000
-46,20,792088632055412000,792088632075344000
-46,20,792088632165403000,792088632185346000
-46,10,792088632275407000,792088632285349000
-46,10,792088632385415000,792088632395342000
-46,31,792088632495406000,792088632525441000
-46,21,792088632605419000,792088632625465000
-46,21,792088632715347000,792088632735412000
-45,20,792088632825402000,792088632845342000
-46,20,792088632935414000,792088632955345000
-46,30,792088633045402000,792088633075305000
-45,20,792088633175405000,792088633195343000
-46,20,792088633285421000,792088633305344000
-45,21,792088633395422000,792088633416252000
-45,20,792088633505400000,792088633525342000
-46,10,792088633615405000,792088633625342000
-45,50,792088633725414000,792088633775351000
-45,30,792088633855409000,792088633885304000
-46,40,792088633985404000,792088634025341000
-45,20,792088634095406000,792088634115349000
-45,10,792088634205403000,792088634215348000
-45,10,792088634315405000,792088634325352000
-45,31,792088634425415000,792088634455379000
-45,10,792088634535409000,792088634545348000
-45,21,792088634645426000,792088634665774000
-45,21,792088634755398000,792088634775442000
-45,21,792088634865281000,792088634885419000
-46,30,792088634975407000,792088635005342000
-45,20,792088635085401000,792088635105349000
-45,20,792088635195403000,792088635215342000
-45,31,792088635305404000,792088635335549000
-44,10,792088635415400000,792088635425345000
