RSSI,Ping,send_time_echoer,recv_time_echoer
-67,NA,403734418000,403733019000
-65,NA,403844171000,403842925000
-68,NA,403954152000,403952896000
-65,NA,404064144000,404062913000
-62,NA,404174157000,404172897000
-61,NA,404284514000,404283054000
-61,NA,404394527000,404393021000
-60,NA,404504373000,404503019000
-59,NA,404614396000,404613017000
-60,NA,404724429000,404723056000
-60,NA,404834408000,404833023000
-61,NA,404944390000,404943022000
-61,NA,405054418000,405053030000
-60,NA,405164377000,405163019000
-61,NA,405274515000,405273061000
-60,NA,405384394000,405383035000
-59,NA,405494371000,405493014000
-60,NA,405604427000,405603023000
-60,NA,405714388000,405713027000
-61,NA,405824389000,405823033000
-60,NA,405934385000,405933016000
-59,NA,406044397000,406043032000
-61,NA,406154375000,406153017000
-61,NA,406264648000,406263217000
-59,NA,406374408000,406373027000
-61,NA,406484386000,406483028000
-60,NA,406594388000,406593021000
-59,NA,406704390000,406703030000
-60,NA,406814432000,406813044000
-61,NA,406924517000,406923026000
-61,NA,407034398000,407033027000
-59,NA,407144381000,407143025000
-59,NA,407254383000,407253018000
-60,NA,407364530000,407363074000
-59,NA,407474379000,407473024000
-60,NA,407584381000,407583023000
-61,NA,407694380000,407693025000
-61,NA,407804531000,407803050000
-61,NA,407914392000,407913027000
-60,NA,408024387000,408023035000
-59,NA,408134374000,408133019000
-59,NA,408244382000,408243024000
-60,NA,408354437000,408353057000
-60,NA,408464396000,408463031000
-61,NA,408574393000,408573027000
-61,NA,408684391000,408683032000
-61,NA,408794422000,408793040000
-59,NA,408904526000,408903028000
-60,NA,409014447000,409013023000
-60,NA,409124371000,409123027000
-60,NA,409234381000,409233019000
-61,NA,409344454000,409343069000
-61,NA,409454377000,409453018000
-61,NA,409564390000,409563029000
-60,NA,409674388000,409673026000
-60,NA,409784428000,409783054000
-60,NA,409894395000,409893022000
-60,NA,410004388000,410003035000
-61,NA,410114376000,410113014000
-61,NA,410224535000,410223027000
-61,NA,410334536000,410333063000
-61,NA,410444388000,410443031000
-60,NA,410554390000,410553018000
-60,NA,410664392000,410663033000
-60,NA,410774417000,410773041000
-61,NA,410884384000,410883028000
-61,NA,410994392000,410993025000
-61,NA,411104377000,411103029000
-61,NA,411214381000,411213015000
-60,NA,411324454000,411323075000
-60,NA,411434383000,411433021000
-60,NA,411544386000,411543026000
-61,NA,411654389000,411653028000
-61,NA,411764565000,411763054000
-61,NA,411874454000,411873017000
-61,NA,411984386000,411983032000
-61,NA,412094370000,412093018000
-61,NA,412204382000,412203022000
-60,NA,412314432000,412313054000
-61,NA,412424389000,412423022000
-59,NA,412534383000,412533020000
-61,NA,412644388000,412643034000
-60,NA,412754425000,412753043000
-61,NA,412864378000,412863025000
-60,NA,412974389000,412973026000
-61,NA,413084380000,413083029000
-60,NA,413194377000,413193017000
-59,NA,413304462000,413303072000
-61,NA,413414386000,413413016000
-61,NA,413524388000,413523026000
-61,NA,413634384000,413633023000
-60,NA,413744427000,413743051000
-60,NA,413854382000,413853019000
-61,NA,413964387000,413963032000
-60,NA,414074378000,414073018000
-61,NA,414184388000,414183025000
-61,NA,414294452000,414293066000
-59,NA,414404574000,414403029000
-61,NA,414514408000,414513015000
-60,NA,414624390000,414623030000
