RSSI,Ping,send_time_echoer,recv_time_echoer
-71,NA,792603395554136000,792603395552728000
-72,NA,792603395674023000,792603395672732000
-71,NA,792603395783975000,792603395782704000
-71,NA,792603395893971000,792603395892701000
-71,NA,792603396003965000,792603396002700000
-71,NA,792603396113940000,792603396112699000
-71,NA,792603396223973000,792603396222705000
-71,NA,792603396333947000,792603396332705000
-71,NA,792603396443977000,792603396442703000
-71,NA,792603396553942000,792603396552698000
-71,NA,792603396664041000,792603396662730000
-71,NA,792603396773964000,792603396772704000
-71,NA,792603396883998000,792603396882700000
-71,NA,792603396993958000,792603396992704000
-71,NA,792603397103971000,792603397102707000
-71,NA,792603397213971000,792603397212704000
-71,NA,792603397323967000,792603397322703000
-71,NA,792603397434007000,792603397432704000
-71,NA,792603397544006000,792603397542715000
-71,NA,792603397654018000,792603397652723000
-71,NA,792603397763984000,792603397762701000
-71,NA,792603397873982000,792603397872708000
-71,NA,792603397983982000,792603397982711000
-71,NA,792603398094051000,792603398092700000
-71,NA,792603398203984000,792603398202704000
-72,NA,792603398313984000,792603398312706000
-71,NA,792603398423985000,792603398422705000
-71,NA,792603398533986000,792603398532705000
-72,NA,792603398644043000,792603398642728000
-71,NA,792603398754060000,792603398752707000
-71,NA,792603398863994000,792603398862707000
-72,NA,792603398973983000,792603398972705000
-72,NA,792603399083989000,792603399082701000
-72,NA,792603399193997000,792603399192709000
-71,NA,792603399303996000,792603399302709000
-72,NA,792603399413990000,792603399412702000
-72,NA,792603399524005000,792603399522707000
-72,NA,792603399634145000,792603399632732000
-72,NA,792603399744019000,792603399742710000
-72,NA,792603399854007000,792603399852706000
-72,NA,792603399964040000,792603399962714000
-72,NA,792603400074000000,792603400072701000
-72,NA,792603400184015000,792603400182706000
-72,NA,792603400294011000,792603400292711000
-72,NA,792603400404020000,792603400402706000
-72,NA,792603400514017000,792603400512709000
-72,NA,792603400624311000,792603400622965000
-72,NA,792603400734130000,792603400732704000
-72,NA,792603400844025000,792603400842704000
-72,NA,792603400954013000,792603400952704000
-72,NA,792603401064012000,792603401062702000
-72,NA,792603401174026000,792603401172703000
-72,NA,792603401284027000,792603401282708000
-71,NA,792603401394015000,792603401392698000
-71,NA,792603401514029000,792603401512708000
-71,NA,792603401624310000,792603401622958000
-71,NA,792603401734058000,792603401732705000
-71,NA,792603401844031000,792603401842705000
-71,NA,792603401954038000,792603401952715000
-71,NA,792603402064142000,792603402062702000
-72,NA,792603402174050000,792603402172705000
-72,NA,792603402284033000,792603402282708000
-71,NA,792603402394039000,792603402392706000
-71,NA,792603402504046000,792603402502706000
-71,NA,792603402614054000,792603402612711000
-72,NA,792603402724091000,792603402722728000
-71,NA,792603402834069000,792603402832713000
-71,NA,792603402944054000,792603402942712000
-71,NA,792603403054056000,792603403052703000
-72,NA,792603403164057000,792603403162704000
-71,NA,792603403274064000,792603403272716000
-71,NA,792603403384058000,792603403382705000
-71,NA,792603403494066000,792603403492708000
-71,NA,792603403604297000,792603403602710000
-71,NA,792603403714215000,792603403712736000
-71,NA,792603403824069000,792603403822706000
-72,NA,792603403934073000,792603403932714000
-72,NA,792603404044062000,792603404042702000
-72,NA,792603404154076000,792603404152708000
-72,NA,792603404264083000,792603404262714000
-71,NA,792603404374082000,792603404372704000
-71,NA,792603404484077000,792603404482708000
-72,NA,792603404594084000,792603404592712000
-72,NA,792603404704128000,792603404702727000
-72,NA,792603404814100000,792603404812711000
-72,NA,792603404924086000,792603404922713000
-72,NA,792603405034085000,792603405032711000
-72,NA,792603405144098000,792603405142705000
-72,NA,792603405254106000,792603405252710000
-72,NA,792603405364089000,792603405362703000
-72,NA,792603405474102000,792603405472707000
-72,NA,792603405584106000,792603405582709000
-71,NA,792603405694157000,792603405692724000
-72,NA,792603405804118000,792603405802709000
-72,NA,792603405914105000,792603405912713000
-72,NA,792603406024104000,792603406022702000
-72,NA,792603406134112000,792603406132705000
-72,NA,792603406249045000,792603406242709000
-72,NA,792603406353981000,792603406352732000
-72,NA,792603406463926000,792603406462703000
