RSSI,Ping,send_time_sender,recv_time_sender
-37,18,99505100000,99522955000
-37,15,99617395000,99632895000
-37,20,99722850000,99742893000
-40,20,99832855000,99852875000
-37,20,99942892000,99962880000
-37,20,100052867000,100072852000
-41,20,100162862000,100182866000
-41,20,100272859000,100292844000
-42,20,100382860000,100402869000
-42,20,100492876000,100512859000
-41,20,100602861000,100622877000
-37,20,100712847000,100732854000
-36,20,100822853000,100842874000
-37,20,100932850000,100952853000
-41,20,101042844000,101062881000
-36,20,101152848000,101172851000
-37,20,101262848000,101282877000
-36,20,101372840000,101392864000
-41,20,101482867000,101502878000
-37,20,101592849000,101612883000
-41,20,101702850000,101722872000
-37,20,101812855000,101832859000
-37,20,101922838000,101942866000
-37,20,102032842000,102052878000
-37,20,102142843000,102162866000
-42,20,102252852000,102272860000
-36,20,102362836000,102382872000
-37,20,102472858000,102492861000
-37,20,102582851000,102602871000
-37,20,102692883000,102712861000
-41,20,102802848000,102822863000
-41,20,102912855000,102932863000
-42,20,103022848000,103042872000
-37,20,103132853000,103152851000
-37,20,103242845000,103262872000
-37,20,103352849000,103372864000
-37,20,103462864000,103482874000
-37,20,103572861000,103592863000
-36,20,103682883000,103702856000
-41,20,103792855000,103812851000
-37,20,103902856000,103922862000
-41,20,104012856000,104032853000
-41,20,104122855000,104142863000
-37,20,104232853000,104252853000
-41,20,104342852000,104362862000
-41,20,104453042000,104472857000
-37,20,104562856000,104582867000
-41,20,104672880000,104692845000
-37,20,104782859000,104802864000
-37,20,104892855000,104912854000
-37,20,105002852000,105022871000
-36,20,105112855000,105132851000
-37,19,105223098000,105242869000
-37,20,105332861000,105352848000
-37,20,105442860000,105462885000
-37,20,105552862000,105572855000
-41,20,105662886000,105682853000
-37,20,105772859000,105792842000
-37,20,105882853000,105902865000
-36,20,105992855000,106012850000
-37,20,106102856000,106122874000
-41,20,106212860000,106232850000
-37,20,106322854000,106342866000
-41,21,106432857000,106453052000
-37,20,106542862000,106562867000
-36,20,106652880000,106672855000
-41,20,106762854000,106782857000
-37,20,106872857000,106892861000
-37,20,106982857000,107002865000
-41,20,107092863000,107112855000
-37,20,107202854000,107222865000
-37,20,107312851000,107332863000
-41,20,107422858000,107442865000
-37,20,107532864000,107552866000
-41,20,107642889000,107662880000
-37,20,107752858000,107772842000
-37,20,107862858000,107882866000
-37,20,107972860000,107992852000
-37,20,108082856000,108102864000
-36,20,108192855000,108212854000
-37,20,108302854000,108322871000
-41,20,108412859000,108432846000
-37,20,108522864000,108542874000
-37,20,108632892000,108652845000
-37,20,108742859000,108762857000
-41,20,108852865000,108872857000
-37,20,108962854000,108982864000
-37,20,109072857000,109092859000
-37,20,109182858000,109202864000
-37,20,109292856000,109312857000
-37,20,109402858000,109422867000
-41,20,109512866000,109532865000
-37,20,109622895000,109642860000
-37,20,109732863000,109752846000
-37,20,109842855000,109862865000
-41,20,109952853000,109972853000
-37,20,110062858000,110082862000
-37,20,110172857000,110192848000
-37,20,110282852000,110302898000
-37,20,110392852000,110412850000
