RSSI,Ping,send_time_sender,recv_time_sender
-20,20,119813587000,119832709000
-20,21,119922695000,119942687000
-20,21,120032671000,120052692000
-23,21,120142662000,120162693000
-20,21,120252701000,120272693000
-20,21,120362666000,120382689000
-20,21,120472664000,120492687000
-20,21,120582666000,120602690000
-21,21,120692674000,120712685000
-20,21,120802665000,120822691000
-21,21,120912665000,120932686000
-21,21,121022663000,121042693000
-20,21,121132668000,121152687000
-20,21,121242702000,121262695000
-20,21,121352669000,121372688000
-20,21,121462670000,121482693000
-20,21,121572666000,121592687000
-20,21,121682664000,121702693000
-20,21,121792664000,121812692000
-20,21,121902669000,121922693000
-20,21,122012670000,122032689000
-20,21,122122668000,122142696000
-20,21,122232705000,122252690000
-20,21,122342664000,122362690000
-21,21,122452673000,122472691000
-20,21,122562665000,122582690000
-20,21,122672663000,122692687000
-20,21,122782661000,122802691000
-20,21,122892667000,122912687000
-20,21,123002666000,123022693000
-20,21,123112666000,123132690000
-20,21,123222690000,123242695000
-20,21,123332661000,123352685000
-20,21,123442665000,123462693000
-21,21,123552665000,123572686000
-21,21,123662665000,123682692000
-20,21,123772663000,123792689000
-21,21,123882670000,123902696000
-20,21,123992662000,124012688000
-20,21,124102664000,124122693000
-20,21,124212693000,124232690000
-20,21,124322657000,124342689000
-20,21,124432664000,124452690000
-20,21,124542662000,124562690000
-20,21,124652662000,124672686000
-20,21,124762662000,124782693000
-20,21,124872662000,124892686000
-20,21,124982658000,125002686000
-20,21,125092660000,125112697000
-21,21,125202734000,125222697000
-20,21,125312657000,125332687000
-20,21,125422662000,125442694000
-20,21,125532662000,125552688000
-20,21,125642664000,125662691000
-20,21,125752662000,125772691000
-20,21,125862666000,125882689000
-20,21,125972662000,125992688000
-20,21,126082662000,126102692000
-20,21,126192688000,126212691000
-21,21,126302661000,126322686000
-21,21,126412667000,126432726000
-20,21,126522672000,126542690000
-20,21,126632665000,126652692000
-21,21,126742663000,126762692000
-20,21,126852669000,126872689000
-20,21,126962663000,126982691000
-20,21,127072665000,127092691000
-20,20,127182868000,127202691000
-20,21,127292657000,127312685000
-20,21,127402664000,127422692000
-21,21,127512661000,127532688000
-20,21,127622661000,127642692000
-20,21,127732694000,127752691000
-20,21,127842700000,127862683000
-21,21,127952665000,127972697000
-21,21,128062676000,128082691000
-21,21,128172666000,128192751000
-20,21,128282668000,128302686000
-20,21,128392666000,128412685000
-20,21,128502665000,128522687000
-20,21,128612668000,128632682000
-20,21,128722666000,128742691000
-20,21,128832668000,128852687000
-21,21,128942663000,128962689000
-20,21,129052666000,129072685000
-21,21,129162668000,129182933000
-21,21,129272664000,129292681000
-20,21,129382666000,129402688000
-20,21,129492665000,129512684000
-20,21,129602666000,129622688000
-21,21,129712663000,129732687000
-20,21,129822668000,129842687000
-20,21,129932663000,129952684000
-21,21,130042671000,130062690000
-20,21,130152665000,130172685000
-20,21,130262688000,130282693000
-20,21,130372661000,130392688000
-20,21,130482663000,130502689000
-20,21,130592662000,130612710000
-20,21,130702665000,130722695000
