RSSI,Ping,send_time_sender,recv_time_sender
-75,13,792603663655490000,792603663667889000
-74,21,792603663767783000,792603663787891000
-74,21,792603663877787000,792603663897896000
-73,21,792603663987790000,792603664007891000
-73,21,792603664097787000,792603664117813000
-73,21,792603664207791000,792603664227896000
-72,21,792603664317797000,792603664337896000
-74,21,792603664427787000,792603664447894000
-73,21,792603664537794000,792603664557920000
-74,21,792603664647789000,792603664667813000
-75,21,792603664757784000,792603664777887000
-74,21,792603664867786000,792603664887816000
-74,21,792603664977782000,792603664997890000
-75,21,792603665087794000,792603665107899000
-74,21,792603665197786000,792603665217894000
-73,21,792603665307790000,792603665327817000
-73,21,792603665417789000,792603665437893000
-74,21,792603665527788000,792603665548057000
-74,21,792603665637786000,792603665657806000
-74,21,792603665747781000,792603665767816000
-74,21,792603665857782000,792603665877815000
-74,21,792603665967796000,792603665987817000
-74,21,792603666077788000,792603666097815000
-73,21,792603666187781000,792603666207896000
-74,21,792603666297794000,792603666317813000
-74,21,792603666407784000,792603666427810000
-73,21,792603666517782000,792603666537814000
-74,21,792603666627824000,792603666647903000
-74,21,792603666737789000,792603666757897000
-73,20,792603666847973000,792603666867822000
-75,20,792603666957962000,792603666977812000
-74,21,792603667067784000,792603667087819000
-74,21,792603667177782000,792603667197813000
-74,21,792603667287784000,792603667307818000
-75,21,792603667397782000,792603667417810000
-75,21,792603667507782000,792603667527820000
-74,21,792603667617811000,792603667637818000
-74,21,792603667727782000,792603667747898000
-76,21,792603667837785000,792603667857818000
-74,21,792603667947783000,792603667967817000
-75,21,792603668057782000,792603668077814000
-75,21,792603668167782000,792603668187818000
-75,21,792603668277784000,792603668297814000
-75,21,792603668387782000,792603668407818000
-74,21,792603668497784000,792603668517818000
-75,21,792603668607819000,792603668627820000
-75,21,792603668717779000,792603668737812000
-74,21,792603668827783000,792603668847816000
-74,21,792603668937783000,792603668957901000
-75,21,792603669047786000,792603669067816000
-75,21,792603669157783000,792603669177814000
-74,21,792603669267785000,792603669287818000
-75,21,792603669377785000,792603669397813000
-75,21,792603669487785000,792603669507823000
-76,21,792603669607816000,792603669627814000
-75,21,792603669717784000,792603669737817000
-74,21,792603669827787000,792603669847819000
-74,21,792603669937789000,792603669957816000
-75,21,792603670047785000,792603670067816000
-75,21,792603670157785000,792603670177818000
-73,21,792603670267784000,792603670287826000
-75,21,792603670377789000,792603670397825000
-75,21,792603670487784000,792603670507821000
-74,21,792603670597811000,792603670617821000
-74,21,792603670707783000,792603670727812000
-76,21,792603670817783000,792603670837822000
-74,21,792603670927785000,792603670947813000
-75,21,792603671037783000,792603671057822000
-75,21,792603671147783000,792603671167819000
-74,21,792603671257788000,792603671277821000
-74,21,792603671367785000,792603671387816000
-74,21,792603671477783000,792603671497825000
-74,21,792603671587843000,792603671607818000
-75,21,792603671697820000,792603671717813000
-75,21,792603671807786000,792603671827829000
-74,21,792603671917796000,792603671937819000
-74,21,792603672027783000,792603672047816000
-74,21,792603672137785000,792603672157822000
-75,21,792603672247785000,792603672267816000
-75,21,792603672357783000,792603672377820000
-74,21,792603672467785000,792603672487819000
-75,21,792603672577816000,792603672597820000
-75,21,792603672687781000,792603672707812000
-74,21,792603672797783000,792603672817823000
-74,21,792603672907785000,792603672927815000
-75,21,792603673017785000,792603673037821000
-74,21,792603673127785000,792603673147818000
-75,21,792603673237785000,792603673257821000
-75,21,792603673347784000,792603673367814000
-74,21,792603673457782000,792603673477822000
-75,21,792603673567807000,792603673587816000
-75,21,792603673677782000,792603673697816000
-74,21,792603673787785000,792603673807819000
-75,21,792603673897787000,792603673917818000
-76,21,792603674007783000,792603674027816000
-75,21,792603674117786000,792603674137821000
-75,21,792603674227788000,792603674247815000
-75,21,792603674337782000,792603674357813000
-75,21,792603674447781000,792603674467920000
-75,21,792603674557823000,792603674577823000
