RSSI,Ping
-46,219
-46,113
-44,9
-43,10
-38,10
-44,20
-39,10
-40,10
-39,10
-38,10
-43,10
-38,10
-37,10
-38,10
-53,10
-48,10
-49,10
-45,10
-47,10
-39,10
-39,10
-37,10
-39,10
-44,10
-41,10
-41,10
-43,10
-38,10
-35,10
-40,10
-40,10
-36,10
-38,10
-40,10
-41,20
-35,10
-45,10
-37,10
-37,10
-36,10
-39,10
-39,10
-36,10
-38,10
-46,10
-47,10
-41,10
-47,10
-42,10
-48,10
-45,10
-40,10
-45,10
-51,10
-49,10
-46,10
-44,10
-44,10
-43,10
-48,20
-44,10
-47,10
-50,10
-50,10
-48,10
-45,10
-45,10
-47,10
-46,10
-49,10
-48,10
-49,10
-46,10
-44,10
-47,10
-50,10
-48,10
-45,10
-46,10
-47,10
-48,11
-47,10
-46,10
-47,10
-47,10
-46,10
-44,20
-45,10
-49,10
-49,10
-49,10
-50,10
-47,10
-43,10
-40,10
-39,20
-41,10
-44,10
-44,10
-43,10
