RSSI,Ping,send_time_echoer,recv_time_echoer
-44,NA,792088624005001000,792088624003139000
-44,NA,792088624114834000,792088624113017000
-42,NA,792088624234845000,792088624233021000
-42,NA,792088624334830000,792088624333017000
-42,NA,792088624454841000,792088624453012000
-41,NA,792088624554865000,792088624553041000
-42,NA,792088624674879000,792088624673040000
-41,NA,792088624774835000,792088624773007000
-41,NA,792088624894871000,792088624893021000
-41,NA,792088624994851000,792088624993015000
-42,NA,792088625104899000,792088625103023000
-41,NA,792088625224852000,792088625223016000
-42,NA,792088625344880000,792088625343012000
-42,NA,792088625454860000,792088625453016000
-41,NA,792088625574877000,792088625573044000
-41,NA,792088625694875000,792088625693036000
-42,NA,792088625814860000,792088625813025000
-41,NA,792088625924906000,792088625923017000
-41,NA,792088626034867000,792088626033021000
-41,NA,792088626174867000,792088626173017000
-42,NA,792088626294869000,792088626293016000
-42,NA,792088626414869000,792088626413019000
-42,NA,792088626514872000,792088626513016000
-42,NA,792088626624963000,792088626623043000
-42,NA,792088626734889000,792088626733038000
-44,NA,792088626844866000,792088626843013000
-42,NA,792088626954881000,792088626953022000
-43,NA,792088627084875000,792088627083018000
-43,NA,792088627194941000,792088627193081000
-43,NA,792088627304958000,792088627303018000
-43,NA,792088627414973000,792088627413120000
-42,NA,792088627524837000,792088627523012000
-42,NA,792088627644870000,792088627643040000
-43,NA,792088627754837000,792088627753013000
-42,NA,792088627864932000,792088627863019000
-42,NA,792088627964855000,792088627963026000
-42,NA,792088628084814000,792088628082978000
-42,NA,792088628184940000,792088628183012000
-44,NA,792088628294849000,792088628293014000
-42,NA,792088628414838000,792088628413004000
-42,NA,792088628524848000,792088628523016000
-41,NA,792088628624892000,792088628623040000
-42,NA,792088628744878000,792088628743035000
-43,NA,792088628854854000,792088628853015000
-42,NA,792088628954848000,792088628953011000
-41,NA,792088629074846000,792088629073010000
-43,NA,792088629194859000,792088629193006000
-44,NA,792088629324986000,792088629323011000
-43,NA,792088629454855000,792088629452977000
-42,NA,792088629554892000,792088629553036000
-42,NA,792088629664891000,792088629663040000
-42,NA,792088629774868000,792088629773015000
-42,NA,792088629884865000,792088629883017000
-42,NA,792088630004933000,792088630003019000
-42,NA,792088630104869000,792088630103014000
-43,NA,792088630214880000,792088630213015000
-42,NA,792088630324879000,792088630323022000
-43,NA,792088630434862000,792088630433011000
-42,NA,792088630545280000,792088630543412000
-43,NA,792088630655093000,792088630653050000
-43,NA,792088630784928000,792088630783013000
-44,NA,792088630914873000,792088630913008000
-43,NA,792088631034831000,792088631032971000
-43,NA,792088631154887000,792088631153015000
-43,NA,792088631254885000,792088631253015000
-43,NA,792088631375130000,792088631373254000
-44,NA,792088631504880000,792088631503014000
-44,NA,792088631624885000,792088631623003000
-44,NA,792088631744919000,792088631743047000
-44,NA,792088631844888000,792088631843008000
-44,NA,792088631954883000,792088631953017000
-44,NA,792088632064889000,792088632063008000
-44,NA,792088632174896000,792088632173018000
-44,NA,792088632295104000,792088632293012000
-44,NA,792088632395161000,792088632393263000
-44,NA,792088632504901000,792088632503011000
-44,NA,792088632614926000,792088632613040000
-43,NA,792088632724926000,792088632723034000
-43,NA,792088632844893000,792088632843011000
-44,NA,792088632964902000,792088632963009000
-44,NA,792088633074909000,792088633073016000
-45,NA,792088633187584000,792088633183014000
-43,NA,792088633294823000,792088633293024000
-43,NA,792088633404803000,792088633403008000
-43,NA,792088633534810000,792088633533007000
-43,NA,792088633654809000,792088633653001000
-43,NA,792088633784808000,792088633783012000
-43,NA,792088633884815000,792088633882974000
-43,NA,792088633994806000,792088633993017000
-43,NA,792088634104804000,792088634103010000
-43,NA,792088634224809000,792088634223010000
-43,NA,792088634324842000,792088634323010000
-43,NA,792088634434818000,792088634433004000
-43,NA,792088634545124000,792088634543264000
-43,NA,792088634654816000,792088634653027000
-44,NA,792088634774819000,792088634773007000
-43,NA,792088634874824000,792088634873016000
-43,NA,792088634988255000,792088634983011000
-44,NA,792088635104816000,792088635103024000
-43,NA,792088635204815000,792088635203024000
