RSSI,Ping,send_time_sender,recv_time_sender
-72,28,792088847157216000,792088847185371000
-73,11,792088847265401000,792088847275671000
-70,20,792088847375412000,792088847395340000
NA,NA,792088847485404000,NA
-67,20,792088847595274000,792088847615351000
NA,NA,792088847705431000,NA
-69,10,792088847815276000,792088847825348000
-68,20,792088847925401000,792088847945343000
-71,20,792088848035403000,792088848055343000
-70,11,792088848145420000,792088848155664000
NA,NA,792088848255422000,NA
NA,NA,792088848365315000,NA
-74,21,792088848475413000,792088848495466000
-68,11,792088848595427000,792088848605591000
NA,NA,792088848705415000,NA
-69,11,792088848815356000,792088848825602000
-70,10,792088848925401000,792088848935352000
-69,30,792088849035405000,792088849065351000
-71,10,792088849145408000,792088849155348000
-72,10,792088849255407000,792088849265350000
-72,20,792088849365417000,792088849385343000
-71,11,792088849485407000,792088849495386000
-68,21,792088849595419000,792088849615460000
NA,NA,792088849705403000,NA
-70,10,792088849815270000,792088849825351000
NA,NA,792088849925405000,NA
-69,20,792088850035272000,792088850055352000
-70,31,792088850145404000,792088850175478000
-69,30,792088850255408000,792088850285341000
-72,10,792088850365424000,792088850375349000
-71,30,792088850475421000,792088850505308000
-70,41,792088850605405000,792088850645464000
-71,31,792088850715420000,792088850745459000
-69,21,792088850825282000,792088850845460000
NA,NA,792088850935383000,NA
-68,20,792088851045265000,792088851065351000
-68,30,792088851155429000,792088851185347000
-66,30,792088851265411000,792088851295349000
-68,30,792088851375414000,792088851405345000
-66,20,792088851485405000,792088851505346000
-65,10,792088851595404000,792088851605347000
-65,21,792088851705421000,792088851725388000
-66,20,792088851815487000,792088851835349000
-65,10,792088851925405000,792088851935342000
-65,20,792088852035406000,792088852055343000
-64,21,792088852145404000,792088852165463000
-65,21,792088852255285000,792088852275465000
-64,19,792088852365836000,792088852385339000
-65,20,792088852475421000,792088852495351000
-65,30,792088852585386000,792088852615341000
-65,20,792088852695418000,792088852715345000
-65,30,792088852805404000,792088852835345000
-67,11,792088852915406000,792088852925484000
-67,20,792088853025413000,792088853045350000
-66,11,792088853135404000,792088853145478000
-67,10,792088853245404000,792088853255349000
-66,41,792088853355422000,792088853395466000
-68,20,792088853465363000,792088853485351000
-68,10,792088853575399000,792088853585345000
-67,30,792088853685615000,792088853715471000
-68,21,792088853795281000,792088853815478000
-68,20,792088853905425000,792088853925364000
-69,10,792088854015423000,792088854025355000
-68,30,792088854125405000,792088854155348000
NA,NA,792088854235405000,NA
NA,NA,792088854345327000,NA
-69,10,792088854455368000,792088854465351000
-70,10,792088854565424000,792088854575349000
-70,21,792088854675403000,792088854695390000
-73,21,792088854785409000,792088854805467000
NA,NA,792088854895502000,NA
-70,31,792088855005419000,792088855035477000
-71,31,792088855115282000,792088855145471000
-73,31,792088855225366000,792088855255469000
-70,20,792088855335966000,792088855355486000
-71,20,792088855445413000,792088855465348000
NA,NA,792088855555405000,NA
-70,21,792088855665292000,792088855685596000
-70,20,792088855775403000,792088855795349000
-68,10,792088855885406000,792088855895347000
-68,20,792088855995410000,792088856015352000
-66,10,792088856105408000,792088856115349000
-67,20,792088856215422000,792088856235350000
-67,11,792088856325402000,792088856335552000
-67,20,792088856435418000,792088856455360000
-66,10,792088856545414000,792088856555361000
-68,21,792088856655397000,792088856675479000
-66,20,792088856765570000,792088856786198000
-65,20,792088856895311000,792088856915349000
-67,20,792088857005402000,792088857025353000
-66,91,792088857115404000,792088857205481000
-67,50,792088857225288000,792088857275301000
-65,20,792088857355406000,792088857375342000
-66,10,792088857465431000,792088857475376000
-66,10,792088857575399000,792088857585349000
-66,30,792088857685609000,792088857715384000
-66,20,792088857795389000,792088857815347000
-66,20,792088857915406000,792088857935343000
-66,20,792088858025414000,792088858045342000
-66,30,792088858135404000,792088858165343000
