StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,"Study Level ",Study Level _5_TEXT,"Familiarity ES ","Familiarity ET ","Familiarity ST ",Proficiency_1,Proficiency_2,Proficiency_3,Proficiency_4,Proficiency_5,Proficiency_6,Proficiency_7,Proficiency_8,Proficiency_9,Proficiency_9_TEXT,Field of Interest,Field of Interest_1_TEXT,Field of Interest_2_TEXT,Field of Interest_3_TEXT,Field of Interest_4_TEXT,Field of Interest_5_TEXT,Participation,"Project Description ","SSP Components ","Enabling ",Ideas,IDE_1,IDE_2,IDE_3,IDE_4,NMMCT_1,NMMCT_2,NMMCT_3,NMMCT_4,Website_1,Website_2,Website_3,Website_4,Inspiration,Inspiration,Capabilities,Capabilities,Efficiency,"Tool Limitations ",Tool Limitations,Platform,Architecture,Website,Website,"Website Comments ","Tools ",Guide,"Guide Comments "
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Greetings, I am a mechanical engineering student from ETH Zurich, Switzerland currently writing my Master's thesis here at Tufts University in Massachusetts, the United States. 

As part of my master's thesis I am developing the Smart System Platform (SSP), which is building up on the existing Smart Motors Project and aims to develop it further for more wide-spread application. The goal is to develop an educational platform which can not only be used to teach certain science and engineering principles intuitively out of the box, but also to enable educators and academia to build lessons and prototype using said platform.
As you are either participating in the SSP-Hackathon or have used some of the developed tools in a different context, I would like to ask you some questions for my research to gather feedback on said tools for future improvement. 
The survey by itself will take about five minutes of your time. If you are participating in the Hackathon, you will first be given a brief introduction about the SSP, you will then be asked to split into groups and develop a small project using the SSP hardware and development tools, after which you will then present your project to the group and share some feedback. Afterwards you will then be given some time to filling out this survey. The Hackathon including this survey will take 60 minutes of your time.

It’s your decision, and there are no consequences to not participating. I further don’t anticipate any major risks to participation. If at any time during the form you do not want to answer a question, you can skip it. If at any time you want to stop participating, or you don’t want to start at all, you may feel free to quit the survey. Before submitting the survey, none of the information will be saved. 


The content of this survey may be used in publications or presentations, however identifiable information about you will not be shared beyond the research team. Your privacy is our top priority, but there is always a slight chance that someone could find out about your participation in this survey. People responsible for monitoring this research may be able to access the data. This includes the Tufts University IRB. Below you can find my contact information and the contact information of the research oversight board at Tufts, the Tufts SBER IRB, if you need to get in touch about this research at any point in the future.


If you agree and would like to consent to participate in this Hackathon and/or questionnaire regarding the experience using the Smart System Platform, please indicate so below.

Do you consent to participate?",What  best describes your current position? - Selected Choice,What  best describes your current position? - Other: - Text,How familiar are you with educational science?,How familiar are you with educational technology? (i.e. educational tools etc.),"How familiar are you with science and technology? (Engineering, Digital, Robotics, Micro-processors and other)","Please rate your proficiency in the following scientific fields, topics and technologies - Educational Science","Please rate your proficiency in the following scientific fields, topics and technologies - Educational Technology","Please rate your proficiency in the following scientific fields, topics and technologies - Science & Technology","Please rate your proficiency in the following scientific fields, topics and technologies - Computer Science","Please rate your proficiency in the following scientific fields, topics and technologies - Digital Technology","Please rate your proficiency in the following scientific fields, topics and technologies - Electrical Engineering","Please rate your proficiency in the following scientific fields, topics and technologies - Mechanical Engineering","Please rate your proficiency in the following scientific fields, topics and technologies - Robotics","Please rate your proficiency in the following scientific fields, topics and technologies - Other:","Please rate your proficiency in the following scientific fields, topics and technologies - Other: - Text",What field are you active and/or interested in? - Selected Choice,What field are you active and/or interested in? - Please specify: - Text,What field are you active and/or interested in? - Please specify: - Text,What field are you active and/or interested in? - Please specify: - Text,What field are you active and/or interested in? - Please specify: - Text,What field are you active and/or interested in? - Please specify any other: - Text,Did you participate in the Smart System Platform hackathon?,Please describe what your project was about:,Which components of the Smart System Platform did you use in your project?,In what way did the above components aid in the development of your project?,Did you have any other ideas on what could be done using the Smart System Platform and its Networking Capabilities?,Please rate the following aspects for the custom web IDE: - Usability,Please rate the following aspects for the custom web IDE: - Accessibility,Please rate the following aspects for the custom web IDE: - Performance,Please rate the following aspects for the custom web IDE: - Features,Please rate the following aspects for the Network Management and Module Configuration Tool: - Usability,Please rate the following aspects for the Network Management and Module Configuration Tool: - Accessibility,Please rate the following aspects for the Network Management and Module Configuration Tool: - Performance,Please rate the following aspects for the Network Management and Module Configuration Tool: - Features,Please rate the following aspects for the Website in general: - Usability,Please rate the following aspects for the Website in general: - Accessibility,Please rate the following aspects for the Website in general: - Performance,Please rate the following aspects for the Website in general: - Features,I found the Smart System Development Tools to be an aid/asset in developing an activity/project:,In what way did you find the development tools helpful or not?,The Smart System Development Tools offered all the necessary capabilities to develop my activity or project.,What capabilities or improvements would you like?,"The Smart System Development Tools enabled me to develop my project, which I otherwise would not have been able to do as efficiently.",Were you able to complete and design your project without issues using the provided tools?,What limitations did you encounter?,Do you understand the goal and design of the Smart System Platform?,The architecture and system design of the Smart System Platform as a system is logical and intuitive:,The design and layout of the Smart System Platform website as a whole is intuitive and easy to use:,The Smart System Platform website contains all the necessary information:,Was there any information that you were missing?,The design and layout of the Smart System Platform Development Tool page is intuitive and easy to use:,The Smart System Platform user guide adequately introduced you to the system and provided all the necessary information and guidance:,Was there anything missing or that could be improved in the guide?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_5_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID49_7""}","{""ImportId"":""QID49_8""}","{""ImportId"":""QID49_9""}","{""ImportId"":""QID49_9_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_1_TEXT""}","{""ImportId"":""QID48_2_TEXT""}","{""ImportId"":""QID48_3_TEXT""}","{""ImportId"":""QID48_4_TEXT""}","{""ImportId"":""QID48_5_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""QID72_4""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID73_2""}","{""ImportId"":""QID73_3""}","{""ImportId"":""QID73_4""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID74_2""}","{""ImportId"":""QID74_3""}","{""ImportId"":""QID74_4""}","{""ImportId"":""QID39""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID56""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65_TEXT""}"
2025-02-10 07:08:11,2025-02-10 07:10:03,Survey Preview,,100,112,True,2025-02-10 07:10:04,R_2gFovpRgO2sfNgg,,,,,42.415,-71.1061,preview,EN,I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-11 08:10:42,2025-02-11 08:57:14,IP Address,130.64.64.36,100,2791,True,2025-02-11 08:57:14,R_3hovYuzZUqtzHVA,,,,,42.415,-71.1061,anonymous,EN,I consent,Graduate Student,,I'm advanced,I'm advanced,I'm advanced,I'm an expert,I'm an expert,I'm advanced,I'm somewhat familiar,I'm an expert,I'm proficient,I'm proficient,I'm proficient,,,,,,,,,Yes,,,,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Somewhat agree,,Somewhat agree,,Somewhat agree,Yes,,Yes,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat agree,
2025-02-11 08:58:40,2025-02-11 09:01:13,IP Address,130.64.64.33,100,153,True,2025-02-11 09:01:14,R_7wTjhRtJ0lCSSSl,,,,,42.415,-71.1061,anonymous,EN,I consent,Graduate Student,,I'm proficient,I'm proficient,I'm proficient,I'm proficient,I'm proficient,I'm advanced,I'm proficient,I'm proficient,I'm somewhat familiar,I'm somewhat familiar,I'm proficient,,,Please specify:,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-11 08:10:51,2025-02-11 09:01:26,IP Address,130.64.64.38,100,3035,True,2025-02-11 09:01:27,R_5ZK75JL7BbihcL7,,,,,42.415,-71.1061,anonymous,EN,I consent,Faculty,,I'm an expert,I'm an expert,I'm an expert,I'm an expert,I'm an expert,I'm an expert,I'm advanced,I'm advanced,I'm proficient,I'm an expert,I'm an expert,I'm advanced,Life,Please specify:,Frisbee,,,,,Yes,Soccer game controlled by a Splats,"Smart Module Hardware (Smart Motor, Dahal Board, etc.),Smart System Website (Guide, Specifications, other support material),Software (Networking library, etc.),Network Management and Module Configuration Tool",Got things talking,yup,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Somewhat agree,"1. To set up config - have default values (and maybe a sentence explaining what it is (like why do I have to do anything sudo?) 2. Add REPL - I added one, connected - but all the buttons stayed grey (although the button said “disconnect” so it thought I was connected) - I then disconnected and reconnected and all worked fine 3. Step 2 has a spelling error -  if the do not interrupt checkbox ",Somewhat agree,I had to read a lit of directions - dropdown menus might be easier to get started,Somewhat disagree,No,"Spent a bit of time reading the instructions ",Yes,Somewhat agree,Somewhat agree,Fully agree,pictures would have been nice,Somewhat agree,Somewhat agree,pictures
2025-02-11 08:10:30,2025-02-11 09:02:03,IP Address,130.64.64.38,100,3092,True,2025-02-11 09:02:03,R_16sDOg1dhTv8Rd7,,,,,42.415,-71.1061,anonymous,EN,I consent,Graduate Student,,I'm advanced,I'm advanced,I'm an expert,I'm advanced,I'm advanced,I'm an expert,I'm advanced,I'm advanced,I'm proficient,I'm advanced,I'm advanced,,,Please specify:,Educational Technology,,,,,Yes,Red light green light game using the splat and accelerometer readings,"Smart Module Hardware (Smart Motor, Dahal Board, etc.),Smart System Website (Guide, Specifications, other support material),Smart System Platform Github page,Software (Networking library, etc.),Custom Web-IDE",Example code was helpful,,Neither Good nor Bad,Neither Good nor Bad,Good,Good,Neither Good nor Bad,Neither Good nor Bad,Good,Good,Good,Neither Good nor Bad,Good,Good,Somewhat agree,It was hard to know where to go to get specific code I needed when trying to write code from scratch,Somewhat agree,,Somewhat agree,No,The code on my hardware was not up to date so I got errors I didn’t know how to fix. We had trouble writing the message receive callback but probably could have done it with more time,Yes,Somewhat agree,Somewhat agree,Somewhat agree,It was hard to understand how to use the configuration tool and what it meant,Somewhat agree,Somewhat agree,It was wordy so I wasn’t as inclined to read it
2025-02-11 08:11:25,2025-02-11 09:02:09,IP Address,130.64.64.65,100,3043,True,2025-02-11 09:02:09,R_5PAybAN4cjb70RR,,,,,42.415,-71.1061,anonymous,EN,I consent,Graduate Student,,I'm not familiar at all,I'm not familiar at all,I'm somewhat familiar,I'm not familiar at all,I'm not familiar at all,I'm somewhat familiar,I'm somewhat familiar,I'm somewhat familiar,I'm proficient,I'm advanced,I'm somewhat familiar,,,Please specify:,Mechanical engineering,,,,,Yes,Shootout robot,"Smart Module Hardware (Smart Motor, Dahal Board, etc.)",,,,,,,,,,,,,,,Fully agree,,,,,No,,Yes,,Somewhat agree,Somewhat agree,"I didn't read much of it due to time constraints ",Somewhat agree,Somewhat agree,
2025-02-11 08:10:39,2025-02-11 09:02:09,IP Address,130.64.64.38,100,3089,True,2025-02-11 09:02:10,R_1EFzMq5bi9SYLa9,,,,,42.3253,-71.0951,anonymous,EN,I consent,Graduate Student,,I'm somewhat familiar,I'm not familiar at all,I'm not familiar at all,I'm somewhat familiar,I'm not familiar at all,I'm not familiar at all,I'm not familiar at all,I'm not familiar at all,I'm not familiar at all,I'm not familiar at all,I'm not familiar at all,,,Please specify:,Psychology,,,,,Yes,"We may have gotten stuck at the connecting part  ","Smart System Website (Guide, Specifications, other support material),Custom Web-IDE,Network Management and Module Configuration Tool",,,Neither Good nor Bad,Neither Good nor Bad,Neither Good nor Bad,Neither Good nor Bad,Neither Good nor Bad,Neither Good nor Bad,Neither Good nor Bad,Neither Good nor Bad,Good,Good,Good,Good,Neither agree nor disagree,"I didn’t make it far enough to use these tools but it seemed to be intuitive (minus the connecting part) ",Neither agree nor disagree,,Neither agree nor disagree,No,Network connection,Yes,Somewhat disagree,Somewhat agree,Somewhat disagree,,Somewhat agree,Somewhat disagree,
2025-02-11 08:10:30,2025-02-11 09:02:10,IP Address,130.64.22.2,100,3099,True,2025-02-11 09:02:10,R_57OtBpihX5t1DJw,,,,,42.415,-71.1061,anonymous,EN,I consent,Graduate Student,,I'm advanced,I'm an expert,I'm an expert,I'm proficient,I'm an expert,I'm an expert,I'm proficient,I'm proficient,I'm somewhat familiar,I'm an expert,I'm an expert,,,Please specify:,"Mechanical Engineering ",,,,,Yes,Building rock paper scissors game,"Smart Module Hardware (Smart Motor, Dahal Board, etc.),Smart System Website (Guide, Specifications, other support material)","It helped, but I did not have enough time to grasp everything ","Yes, in a whole class activity ",Good,Neither Good nor Bad,Good,Perfect,Good,Good,Neither Good nor Bad,Neither Good nor Bad,Perfect,Perfect,Good,Perfect,Somewhat agree,"It has a lot of information ",Fully agree,A simpler guide,Somewhat agree,No,Time,Yes,Somewhat agree,Somewhat agree,Fully agree,,Somewhat disagree,Somewhat agree,
