RSSI,Ping,send_time_sender,recv_time_sender
-56,11,306234774000,306245919000
-58,10,306345936000,306355871000
-56,10,306455887000,306465889000
-53,10,306565965000,306575878000
-53,10,306675940000,306685871000
-53,10,306785943000,306795870000
-51,10,306895935000,306905910000
-49,10,307005931000,307015867000
-46,10,307115934000,307125895000
-44,10,307225933000,307235968000
-42,10,307335900000,307345907000
-40,10,307445897000,307455870000
-43,10,307556083000,307565896000
-49,10,307665942000,307675872000
-46,10,307775910000,307785870000
-50,10,307885925000,307895896000
-54,10,307995909000,308005878000
-56,10,308105921000,308115893000
-56,10,308215910000,308225881000
-56,10,308325921000,308335866000
-57,10,308435840000,308445901000
-56,11,308545929000,308556023000
-56,10,308655910000,308665878000
-55,10,308765927000,308775923000
-56,10,308876004000,308885886000
-55,10,308985922000,308995875000
-55,10,309095904000,309105867000
-54,10,309205915000,309215874000
-54,10,309315902000,309325875000
-55,10,309425892000,309435889000
-55,10,309535911000,309545901000
-55,10,309645946000,309655863000
-55,10,309755917000,309765878000
-55,10,309865922000,309875994000
-55,10,309975908000,309985888000
-56,10,310085916000,310095876000
-55,10,310195903000,310205926000
-56,10,310305890000,310315902000
-55,10,310415910000,310425891000
-55,10,310525935000,310535877000
-55,10,310635945000,310645875000
-55,10,310745931000,310755857000
-55,10,310855916000,310865872000
-55,10,310965925000,310975861000
-55,10,311075922000,311085874000
-55,10,311185932000,311195865000
-55,10,311295912000,311305867000
-55,10,311405833000,311415878000
-56,9,311516171000,311525906000
-56,10,311625941000,311635861000
-55,10,311735925000,311745929000
-56,10,311845923000,311855871000
-55,10,311955934000,311965888000
-55,10,312065937000,312075864000
-55,10,312175919000,312185869000
-55,10,312285928000,312295854000
-55,10,312395932000,312405869000
-54,10,312505924000,312515887000
-54,10,312615944000,312625872000
-54,10,312725934000,312735855000
-54,10,312835928000,312845900000
-54,10,312945925000,312955877000
-55,10,313055920000,313065875000
-54,11,313165923000,313176036000
-54,10,313275887000,313285892000
-54,10,313385899000,313395879000
-54,10,313495935000,313505901000
-54,10,313605949000,313615962000
-54,10,313715940000,313725882000
-54,10,313825926000,313835880000
-54,10,313935921000,313945889000
-54,10,314045928000,314055865000
-54,10,314155932000,314165872000
-53,10,314265918000,314275862000
-53,8,314377244000,314385886000
-53,9,314486108000,314495871000
-53,10,314595958000,314605861000
-53,10,314705937000,314715918000
-53,10,314815963000,314825883000
-53,10,314925945000,314935870000
-53,10,315035925000,315045863000
-53,10,315145935000,315155868000
-53,10,315255918000,315265857000
-53,20,315365937000,315385865000
-53,11,315475922000,315486072000
-53,10,315585964000,315595882000
-53,10,315695925000,315705880000
-53,10,315805932000,315815880000
-53,10,315915923000,315925880000
-54,10,316025931000,316035880000
-53,10,316135921000,316145935000
-53,10,316245871000,316255889000
-53,10,316355916000,316365883000
-53,10,316465892000,316475872000
-53,10,316575956000,316585878000
-53,10,316685936000,316695858000
-53,10,316795928000,316805876000
-53,10,316905926000,316915877000
-53,10,317015924000,317025901000
-54,10,317125927000,317135875000
