RSSI,Ping,send_time_echoer,recv_time_echoer
-56,NA,184064320000,184062913000
-59,NA,184174297000,184172918000
-56,NA,184284145000,184282804000
-52,NA,184394331000,184392972000
-52,NA,184504340000,184502957000
-52,NA,184614199000,184612846000
-50,NA,184724202000,184722847000
-47,NA,184834199000,184832848000
-44,NA,184944544000,184942847000
-44,NA,185054216000,185052847000
-42,NA,185164316000,185162899000
-41,NA,185274153000,185272808000
-42,NA,185384213000,185382850000
-49,NA,185494371000,185492959000
-49,NA,185604227000,185602850000
-50,NA,185714280000,185712854000
-54,NA,185824282000,185822854000
-55,NA,185934285000,185932850000
-57,NA,186044254000,186042855000
-57,NA,186154359000,186152905000
-56,NA,186263876000,186262651000
-55,NA,186374278000,186372854000
-57,NA,186484422000,186482980000
-56,NA,186594274000,186592852000
-56,NA,186704305000,186702866000
-56,NA,186814281000,186812852000
-55,NA,186924288000,186922860000
-55,NA,187034289000,187032851000
-55,NA,187144368000,187142918000
-55,NA,187254213000,187252802000
-55,NA,187364286000,187362853000
-55,NA,187474432000,187472958000
-56,NA,187584348000,187582881000
-56,NA,187694349000,187692875000
-56,NA,187804341000,187802882000
-56,NA,187914689000,187912879000
-55,NA,188024349000,188022880000
-56,NA,188134594000,188133088000
-56,NA,188244268000,188242825000
-55,NA,188354346000,188352873000
-56,NA,188464497000,188462991000
-55,NA,188574337000,188572877000
-55,NA,188684357000,188682879000
-55,NA,188794346000,188792878000
-56,NA,188904357000,188902880000
-56,NA,189014346000,189012881000
-55,NA,189124358000,189122877000
-56,NA,189233952000,189232671000
-56,NA,189344345000,189342878000
-56,NA,189454494000,189453001000
-55,NA,189564344000,189562878000
-55,NA,189674354000,189672883000
-56,NA,189784341000,189782880000
-55,NA,189894345000,189892884000
-56,NA,190004345000,190002882000
-55,NA,190114341000,190112883000
-55,NA,190223948000,190222671000
-55,NA,190334342000,190332877000
-55,NA,190444481000,190442989000
-55,NA,190554341000,190552884000
-55,NA,190664353000,190662877000
-54,NA,190774358000,190772890000
-55,NA,190884682000,190882883000
-55,NA,190994322000,190992869000
-55,NA,191104342000,191102868000
-55,NA,191213975000,191212679000
-55,NA,191324347000,191322869000
-54,NA,191434486000,191432995000
-55,NA,191544347000,191542883000
-54,NA,191654347000,191652875000
-55,NA,191764349000,191762888000
-54,NA,191874349000,191872885000
-54,NA,191984345000,191982884000
-54,NA,192094350000,192092874000
-54,NA,192203968000,192202677000
-54,NA,192314344000,192312877000
-54,NA,192424492000,192422997000
-54,NA,192534346000,192532877000
-54,NA,192644350000,192642877000
-54,NA,192754348000,192752878000
-54,NA,192864367000,192862876000
-54,NA,192974322000,192972875000
-54,NA,193084357000,193082885000
-53,NA,193202944000,193194095000
-53,NA,193304306000,193302804000
-53,NA,193414595000,193413069000
-53,NA,193524350000,193522872000
-53,NA,193634336000,193632879000
-54,NA,193744337000,193742872000
-53,NA,193854674000,193853038000
-53,NA,193964331000,193962859000
-53,NA,194074350000,194072872000
-54,NA,194184451000,194182939000
-54,NA,194294278000,194292843000
-53,NA,194404529000,194403002000
-53,NA,194514397000,194512913000
-53,NA,194624323000,194622867000
-53,NA,194734335000,194732871000
-54,NA,194844342000,194842871000
-53,NA,194954331000,194952870000
